"date"	"yy"	"mm"	"dd"	"hh"	"ws"	"wd"	"pm10"	"air_t"	"slp"
2005-01-01	2005	1	1	12	3.82608695652174	275.59448329558	25.6136363636364	0.254545454545455	1013.18181818182
2005-01-02	2005	1	2	11.5	7.58333333333333	253.070820405399	19.5625	0.308333333333333	1004.08333333333
2005-01-03	2005	1	3	11.5	7.83333333333333	267.556223481587	10.9166666666667	0.154166666666667	1009.41666666667
2005-01-04	2005	1	4	11.5	9.04166666666667	271.874808551479	12.7391304347826	0.460869565217391	1008.17391304348
2005-01-05	2005	1	5	11.5	6.29166666666667	260.184686539271	19	2.125	1013.08333333333
2005-01-06	2005	1	6	11.5	5.75	259.32370738088	21.2391304347826	2.80434782608696	1013.82608695652
2005-01-07	2005	1	7	11.5	6.91666666666667	236.939395821711	15.9583333333333	5.47916666666667	1015.20833333333
2005-01-08	2005	1	8	11.5	7.54166666666667	238.696442355308	13.3958333333333	8	1007
2005-01-09	2005	1	9	11.5	9	252.278521530647	13.4791666666667	5.05833333333333	1012.79166666667
2005-01-10	2005	1	10	11.5	5.66666666666667	223.387932153405	19.4318181818182	6.81363636363636	1018.27272727273
2005-01-11	2005	1	11	11.5	4.375	232.553168387305	26.0681818181818	5.88181818181818	1018.45454545455
2005-01-12	2005	1	12	11.5	4.04166666666667	219.752057989144	37.5833333333333	5.06666666666667	1015.79166666667
2005-01-13	2005	1	13	11.5	5.625	249.680145136517	23.2173913043478	2.53478260869565	1014.26086956522
2005-01-14	2005	1	14	11.5	6.375	277.187153399089	16.7708333333333	0.8125	1017.95833333333
2005-01-15	2005	1	15	11.5	2.16666666666667	310.021448043921	32.3695652173913	-0.660869565217391	1025.26086956522
2005-01-16	2005	1	16	11.5	2	171.117658896288	53.2173913043478	-2.19130434782609	1025.30434782609
2005-01-17	2005	1	17	11.5	2.95833333333333	196.038815308885	73.4782608695652	-1.74347826086957	1016.86956521739
2005-01-18	2005	1	18	11.5	4.25	169.083113010425	55.8125	0.0625	999.625
2005-01-19	2005	1	19	11.5	4.08333333333333	224.081888389035	42.8125	-0.495833333333333	999.833333333333
2005-01-20	2005	1	20	11.5	7.125	234.953110527117	12.5434782608696	0.626086956521739	989
2005-01-21	2005	1	21	11.5	8.79166666666667	272.147542986744	10.2291666666667	0.4625	983.583333333333
2005-01-22	2005	1	22	11.5	5.95833333333333	287.233005452203	13.5	-1.10833333333333	999.625
2005-01-23	2005	1	23	11.5	4.58333333333333	262.738679387146	15.3541666666667	-1.925	1017.29166666667
2005-01-24	2005	1	24	11.5	2.375	344.130401819455	25.0625	-3.48333333333333	1020.83333333333
2005-01-25	2005	1	25	11.5	4.29166666666667	47.8963834958838	51.5625	-4.01666666666667	1026.66666666667
