"V1"	"V2"	"V3"	"V4"
249180090	"RUDZICA"	19510101	0
249180090	"RUDZICA"	19510103	1.9
249180090	"RUDZICA"	19510104	0.9
249180090	"RUDZICA"	19510105	1.2
249180090	"RUDZICA"	19510106	0.1
249180090	"RUDZICA"	19510113	6.6
249180090	"RUDZICA"	19510115	3.6
249180090	"RUDZICA"	19510116	1
249180090	"RUDZICA"	19510118	2.4
249180090	"RUDZICA"	19510119	8.5
249180090	"RUDZICA"	19510120	5.7
249180090	"RUDZICA"	19510121	3.2
249180090	"RUDZICA"	19510122	0.9
249180090	"RUDZICA"	19510123	0
249180090	"RUDZICA"	19510124	0.2
249180090	"RUDZICA"	19510125	0.3
249180090	"RUDZICA"	19510201	0
249180090	"RUDZICA"	19510214	6.7
249180090	"RUDZICA"	19510215	0
249180090	"RUDZICA"	19510219	0
249180090	"RUDZICA"	19510221	1.9
249180090	"RUDZICA"	19510225	2.6
249180090	"RUDZICA"	19510226	12.6
249180090	"RUDZICA"	19510227	2.1
249180090	"RUDZICA"	19510228	0.9
249180090	"RUDZICA"	19510303	3.4
249180090	"RUDZICA"	19510304	0
249180090	"RUDZICA"	19510306	7.9
249180090	"RUDZICA"	19510307	0
249180090	"RUDZICA"	19510308	0.1
249180090	"RUDZICA"	19510309	3.4
249180090	"RUDZICA"	19510310	0
249180090	"RUDZICA"	19510314	1.6
249180090	"RUDZICA"	19510317	0.9
249180090	"RUDZICA"	19510318	11.9
249180090	"RUDZICA"	19510319	3.4
249180090	"RUDZICA"	19510321	0
249180090	"RUDZICA"	19510324	6
249180090	"RUDZICA"	19510325	4.3
249180090	"RUDZICA"	19510326	0.2
249180090	"RUDZICA"	19510327	1.4
249180090	"RUDZICA"	19510328	0.3
249180090	"RUDZICA"	19510329	0
249180090	"RUDZICA"	19510331	12.4
249180090	"RUDZICA"	19510401	28.6
249180090	"RUDZICA"	19510408	5.3
249180090	"RUDZICA"	19510409	4.6
249180090	"RUDZICA"	19510414	3.6
249180090	"RUDZICA"	19510415	0
249180090	"RUDZICA"	19510417	0.2
249180090	"RUDZICA"	19510419	4.3
249180090	"RUDZICA"	19510421	4.1
249180090	"RUDZICA"	19510422	0.2
249180090	"RUDZICA"	19510430	3.9
249180090	"RUDZICA"	19510502	3.6
249180090	"RUDZICA"	19510503	2.4
249180090	"RUDZICA"	19510504	4.6
249180090	"RUDZICA"	19510505	8.7
249180090	"RUDZICA"	19510506	18.1
249180090	"RUDZICA"	19510508	3.6
249180090	"RUDZICA"	19510509	1.8
249180090	"RUDZICA"	19510510	46.9
249180090	"RUDZICA"	19510511	25.9
249180090	"RUDZICA"	19510514	8.5
249180090	"RUDZICA"	19510515	2.4
249180090	"RUDZICA"	19510516	17.9
249180090	"RUDZICA"	19510518	17.2
249180090	"RUDZICA"	19510519	0
249180090	"RUDZICA"	19510520	3.2
249180090	"RUDZICA"	19510521	1.9
249180090	"RUDZICA"	19510522	5.4
249180090	"RUDZICA"	19510523	2.6
249180090	"RUDZICA"	19510526	0
249180090	"RUDZICA"	19510528	8.1
249180090	"RUDZICA"	19510529	0
249180090	"RUDZICA"	19510604	7.6
249180090	"RUDZICA"	19510605	0
249180090	"RUDZICA"	19510606	0
249180090	"RUDZICA"	19510607	5.4
249180090	"RUDZICA"	19510608	3
249180090	"RUDZICA"	19510609	2.9
249180090	"RUDZICA"	19510610	0.2
249180090	"RUDZICA"	19510611	1.9
249180090	"RUDZICA"	19510613	17.1
249180090	"RUDZICA"	19510618	1.9
249180090	"RUDZICA"	19510619	2.1
249180090	"RUDZICA"	19510624	28.4
249180090	"RUDZICA"	19510625	5.6
249180090	"RUDZICA"	19510628	0
249180090	"RUDZICA"	19510629	0.8
249180090	"RUDZICA"	19510702	0
249180090	"RUDZICA"	19510703	0.8
249180090	"RUDZICA"	19510705	2.1
249180090	"RUDZICA"	19510709	10.8
249180090	"RUDZICA"	19510712	21.1
249180090	"RUDZICA"	19510713	16.4
249180090	"RUDZICA"	19510717	3.8
249180090	"RUDZICA"	19510718	0
249180090	"RUDZICA"	19510721	1.6
249180090	"RUDZICA"	19510722	1.8
249180090	"RUDZICA"	19510723	5.9
249180090	"RUDZICA"	19510724	1.8
249180090	"RUDZICA"	19510725	8.4
249180090	"RUDZICA"	19510726	1.5
249180090	"RUDZICA"	19510727	9.2
249180090	"RUDZICA"	19510730	0.4
249180090	"RUDZICA"	19510805	8.2
249180090	"RUDZICA"	19510809	7.6
249180090	"RUDZICA"	19510810	3.1
249180090	"RUDZICA"	19510814	34.8
249180090	"RUDZICA"	19510817	1.7
249180090	"RUDZICA"	19510822	1
249180090	"RUDZICA"	19510823	11.2
249180090	"RUDZICA"	19510824	4.2
249180090	"RUDZICA"	19510827	0.9
249180090	"RUDZICA"	19510907	0.7
249180090	"RUDZICA"	19510908	1.8
249180090	"RUDZICA"	19510917	2.1
249180090	"RUDZICA"	19510918	0
249180090	"RUDZICA"	19510919	3.1
249180090	"RUDZICA"	19510920	10.1
249180090	"RUDZICA"	19510921	2.1
249180090	"RUDZICA"	19510924	2.7
249180090	"RUDZICA"	19510927	3.6
249180090	"RUDZICA"	19510928	10.8
249180090	"RUDZICA"	19510929	1.4
249180090	"RUDZICA"	19510930	0.7
249180090	"RUDZICA"	19511102	3.9
249180090	"RUDZICA"	19511103	5.8
249180090	"RUDZICA"	19511104	2
249180090	"RUDZICA"	19511109	0.1
249180090	"RUDZICA"	19511114	0.1
249180090	"RUDZICA"	19511115	4.3
249180090	"RUDZICA"	19511121	3.5
249180090	"RUDZICA"	19511122	17.4
249180090	"RUDZICA"	19511123	7.4
249180090	"RUDZICA"	19511124	0.5
249180090	"RUDZICA"	19511126	3.4
249180090	"RUDZICA"	19511128	0.5
249180090	"RUDZICA"	19511129	0.7
249180090	"RUDZICA"	19511130	5.6
249180090	"RUDZICA"	19511203	0.4
249180090	"RUDZICA"	19511204	3.8
249180090	"RUDZICA"	19511209	2.8
249180090	"RUDZICA"	19511210	2.4
249180090	"RUDZICA"	19511211	0.5
249180090	"RUDZICA"	19511212	0.4
249180090	"RUDZICA"	19511213	11.2
249180090	"RUDZICA"	19511215	1.6
249180090	"RUDZICA"	19511216	0.5
249180090	"RUDZICA"	19511227	0.4
249180090	"RUDZICA"	19511228	2.8
249180090	"RUDZICA"	19511229	3.1
249180090	"RUDZICA"	19511230	7.3
249180090	"RUDZICA"	19520101	0.7
249180090	"RUDZICA"	19520104	0.8
249180090	"RUDZICA"	19520105	0.7
249180090	"RUDZICA"	19520106	1.6
249180090	"RUDZICA"	19520107	0.4
249180090	"RUDZICA"	19520108	0
249180090	"RUDZICA"	19520110	0
249180090	"RUDZICA"	19520111	1.5
249180090	"RUDZICA"	19520112	0.6
249180090	"RUDZICA"	19520113	0
249180090	"RUDZICA"	19520114	0
249180090	"RUDZICA"	19520117	0.4
249180090	"RUDZICA"	19520118	10.8
249180090	"RUDZICA"	19520119	14.5
249180090	"RUDZICA"	19520120	6.8
249180090	"RUDZICA"	19520121	5.5
249180090	"RUDZICA"	19520122	0.1
249180090	"RUDZICA"	19520123	0.2
249180090	"RUDZICA"	19520125	0.1
249180090	"RUDZICA"	19520126	2.1
249180090	"RUDZICA"	19520127	8.4
249180090	"RUDZICA"	19520128	1
249180090	"RUDZICA"	19520129	0.1
249180090	"RUDZICA"	19520201	8.7
249180090	"RUDZICA"	19520202	3.4
249180090	"RUDZICA"	19520203	1.1
249180090	"RUDZICA"	19520204	6.9
249180090	"RUDZICA"	19520208	0.9
249180090	"RUDZICA"	19520209	0.2
249180090	"RUDZICA"	19520210	0
249180090	"RUDZICA"	19520212	1.4
249180090	"RUDZICA"	19520214	22.2
249180090	"RUDZICA"	19520215	15.5
249180090	"RUDZICA"	19520216	4.1
249180090	"RUDZICA"	19520217	10.8
249180090	"RUDZICA"	19520218	4.8
249180090	"RUDZICA"	19520219	0
249180090	"RUDZICA"	19520220	1.1
249180090	"RUDZICA"	19520221	8
249180090	"RUDZICA"	19520222	6.5
249180090	"RUDZICA"	19520223	0.6
249180090	"RUDZICA"	19520224	0.2
249180090	"RUDZICA"	19520225	0.3
249180090	"RUDZICA"	19520226	7.4
249180090	"RUDZICA"	19520227	1.3
249180090	"RUDZICA"	19520228	2.5
249180090	"RUDZICA"	19520229	1.2
249180090	"RUDZICA"	19520302	3.5
249180090	"RUDZICA"	19520304	0.4
249180090	"RUDZICA"	19520305	2.3
249180090	"RUDZICA"	19520306	2.7
249180090	"RUDZICA"	19520307	0.2
249180090	"RUDZICA"	19520313	9.3
249180090	"RUDZICA"	19520314	0.2
249180090	"RUDZICA"	19520322	1
249180090	"RUDZICA"	19520323	4
249180090	"RUDZICA"	19520324	0.1
249180090	"RUDZICA"	19520325	3.4
249180090	"RUDZICA"	19520326	16.5
249180090	"RUDZICA"	19520327	1.1
249180090	"RUDZICA"	19520328	0.1
249180090	"RUDZICA"	19520329	0
249180090	"RUDZICA"	19520401	19.2
249180090	"RUDZICA"	19520402	2.1
249180090	"RUDZICA"	19520409	2.1
249180090	"RUDZICA"	19520416	5.6
249180090	"RUDZICA"	19520421	0.9
249180090	"RUDZICA"	19520425	2.3
249180090	"RUDZICA"	19520426	1.5
249180090	"RUDZICA"	19520427	1.1
249180090	"RUDZICA"	19520428	18.7
249180090	"RUDZICA"	19520429	2.8
249180090	"RUDZICA"	19520502	2.5
249180090	"RUDZICA"	19520505	1.4
249180090	"RUDZICA"	19520506	0.6
249180090	"RUDZICA"	19520507	10.2
249180090	"RUDZICA"	19520512	5.2
249180090	"RUDZICA"	19520513	0.1
249180090	"RUDZICA"	19520514	2.3
249180090	"RUDZICA"	19520515	2.1
249180090	"RUDZICA"	19520516	4.6
249180090	"RUDZICA"	19520517	0.1
249180090	"RUDZICA"	19520519	2.8
249180090	"RUDZICA"	19520520	6.4
249180090	"RUDZICA"	19520521	0.8
249180090	"RUDZICA"	19520523	2
249180090	"RUDZICA"	19520524	13.3
249180090	"RUDZICA"	19520525	4.8
249180090	"RUDZICA"	19520526	4.6
249180090	"RUDZICA"	19520527	3.3
249180090	"RUDZICA"	19520529	2
249180090	"RUDZICA"	19520601	4.8
249180090	"RUDZICA"	19520602	6.5
249180090	"RUDZICA"	19520603	3.5
249180090	"RUDZICA"	19520606	0
249180090	"RUDZICA"	19520607	6.5
249180090	"RUDZICA"	19520608	0.3
249180090	"RUDZICA"	19520609	6.8
249180090	"RUDZICA"	19520610	2.3
249180090	"RUDZICA"	19520611	12
249180090	"RUDZICA"	19520614	29.2
249180090	"RUDZICA"	19520615	3.6
249180090	"RUDZICA"	19520616	16.9
