"V1"	"V2"	"V3"	"V4"
249200570	"TRZEMEŚNIA"	19510103	6.1
249200570	"TRZEMEŚNIA"	19510106	3.5
249200570	"TRZEMEŚNIA"	19510113	0.4
249200570	"TRZEMEŚNIA"	19510114	0.2
249200570	"TRZEMEŚNIA"	19510115	0.1
249200570	"TRZEMEŚNIA"	19510116	0.3
249200570	"TRZEMEŚNIA"	19510117	2.9
249200570	"TRZEMEŚNIA"	19510118	1.3
249200570	"TRZEMEŚNIA"	19510119	5.6
249200570	"TRZEMEŚNIA"	19510120	5.9
249200570	"TRZEMEŚNIA"	19510123	0.7
249200570	"TRZEMEŚNIA"	19510125	0
249200570	"TRZEMEŚNIA"	19510214	4.6
249200570	"TRZEMEŚNIA"	19510218	0.1
249200570	"TRZEMEŚNIA"	19510220	0.8
249200570	"TRZEMEŚNIA"	19510222	1.3
249200570	"TRZEMEŚNIA"	19510225	2.9
249200570	"TRZEMEŚNIA"	19510226	29.3
249200570	"TRZEMEŚNIA"	19510227	3.2
249200570	"TRZEMEŚNIA"	19510228	1.1
249200570	"TRZEMEŚNIA"	19510303	0.7
249200570	"TRZEMEŚNIA"	19510305	1
249200570	"TRZEMEŚNIA"	19510306	3.4
249200570	"TRZEMEŚNIA"	19510307	5.1
249200570	"TRZEMEŚNIA"	19510308	3.5
249200570	"TRZEMEŚNIA"	19510309	4.4
249200570	"TRZEMEŚNIA"	19510313	3.8
249200570	"TRZEMEŚNIA"	19510316	0.3
249200570	"TRZEMEŚNIA"	19510317	1.9
249200570	"TRZEMEŚNIA"	19510318	7.1
249200570	"TRZEMEŚNIA"	19510324	4.5
249200570	"TRZEMEŚNIA"	19510325	24.3
249200570	"TRZEMEŚNIA"	19510326	1.2
249200570	"TRZEMEŚNIA"	19510327	0.3
249200570	"TRZEMEŚNIA"	19510328	2.1
249200570	"TRZEMEŚNIA"	19510329	5.2
249200570	"TRZEMEŚNIA"	19510330	0.1
249200570	"TRZEMEŚNIA"	19510331	0.3
249200570	"TRZEMEŚNIA"	19510401	21.7
249200570	"TRZEMEŚNIA"	19510402	8.4
249200570	"TRZEMEŚNIA"	19510409	5.7
249200570	"TRZEMEŚNIA"	19510410	1.2
249200570	"TRZEMEŚNIA"	19510414	6.8
249200570	"TRZEMEŚNIA"	19510415	1.7
249200570	"TRZEMEŚNIA"	19510417	0.6
249200570	"TRZEMEŚNIA"	19510419	4.3
249200570	"TRZEMEŚNIA"	19510421	16.3
249200570	"TRZEMEŚNIA"	19510424	4.6
249200570	"TRZEMEŚNIA"	19510429	6.1
249200570	"TRZEMEŚNIA"	19510502	3.4
249200570	"TRZEMEŚNIA"	19510503	1.9
249200570	"TRZEMEŚNIA"	19510504	2.8
249200570	"TRZEMEŚNIA"	19510505	12.1
249200570	"TRZEMEŚNIA"	19510506	27.8
249200570	"TRZEMEŚNIA"	19510507	5.6
249200570	"TRZEMEŚNIA"	19510508	2.7
249200570	"TRZEMEŚNIA"	19510510	30.7
249200570	"TRZEMEŚNIA"	19510511	60.9
249200570	"TRZEMEŚNIA"	19510514	5.9
249200570	"TRZEMEŚNIA"	19510515	1.2
249200570	"TRZEMEŚNIA"	19510516	7.2
249200570	"TRZEMEŚNIA"	19510517	6.5
249200570	"TRZEMEŚNIA"	19510518	9.6
249200570	"TRZEMEŚNIA"	19510521	9.2
249200570	"TRZEMEŚNIA"	19510522	7.1
249200570	"TRZEMEŚNIA"	19510523	3.5
249200570	"TRZEMEŚNIA"	19510525	5.3
249200570	"TRZEMEŚNIA"	19510528	12.1
249200570	"TRZEMEŚNIA"	19510603	2.1
249200570	"TRZEMEŚNIA"	19510604	6.9
249200570	"TRZEMEŚNIA"	19510605	2.2
249200570	"TRZEMEŚNIA"	19510606	1.3
249200570	"TRZEMEŚNIA"	19510607	7.5
249200570	"TRZEMEŚNIA"	19510609	8.6
249200570	"TRZEMEŚNIA"	19510610	11.6
249200570	"TRZEMEŚNIA"	19510613	4.2
249200570	"TRZEMEŚNIA"	19510616	15.2
249200570	"TRZEMEŚNIA"	19510619	0.4
249200570	"TRZEMEŚNIA"	19510624	22.8
249200570	"TRZEMEŚNIA"	19510625	35.6
249200570	"TRZEMEŚNIA"	19510628	2.1
249200570	"TRZEMEŚNIA"	19510629	0.6
249200570	"TRZEMEŚNIA"	19510703	3.8
249200570	"TRZEMEŚNIA"	19510713	13.8
249200570	"TRZEMEŚNIA"	19510720	7.6
249200570	"TRZEMEŚNIA"	19510721	0.4
