"V1"	"V2"	"V3"	"V4"
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510103	1.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510104	1.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510105	1.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510106	0.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510113	9.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510114	0.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510115	6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510116	3.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510117	0.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510118	6.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510119	14.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510120	16.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510121	6.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510122	1.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510123	0.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510124	0.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510125	0.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510214	7.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510218	1.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510220	0.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510221	0.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510222	0.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510223	0.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510225	4.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510226	23.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510227	5.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510228	3.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510301	0.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510303	3.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510304	0.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510305	2.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510306	4.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510307	0.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510308	1.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510309	8.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510310	0.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510312	0.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510314	0.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510317	4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510318	5.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510319	8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510320	1.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510321	0.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510323	0.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510324	10.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510325	7.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510326	0.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510327	2.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510328	1.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510329	1.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510331	8.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510401	45.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510405	0.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510408	11.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510409	6.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510414	2.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510415	2.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510419	7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510421	26
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510422	4.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510428	0.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510429	0.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510430	1.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510502	9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510503	9.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510504	15.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510505	14.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510506	25
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510509	3.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510510	79
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510511	71.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510512	0.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510514	9.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510515	2.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510516	22.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510517	0
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510518	14.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510521	5.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510522	3.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510523	4.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510528	14.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510530	0
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510603	1.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510604	8.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510605	2.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510606	2.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510607	15.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510608	2.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510609	1.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510610	0.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510611	0.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510613	5.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510618	8.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510619	2.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510624	19.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510625	8.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510628	5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510629	1.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510703	2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510705	1.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510709	22.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510712	1.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510713	13.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510715	10.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510716	8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510717	2.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510718	1.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510719	0
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510721	0.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510723	2.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510724	13
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510725	11.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510726	34.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510727	26.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510730	0.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510803	0.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510805	5.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510809	3.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510810	0.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510811	2.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510814	27.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510816	0.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510817	3.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510822	1.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510823	15
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510824	1.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510825	0.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510826	5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510827	33.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510903	0.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510904	1.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510907	3.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510908	0.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510914	0.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510917	2.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510919	7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510920	23.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510921	2.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510924	1.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510927	12.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510928	6.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19510929	0.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511024	0.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511026	0.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511102	3.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511103	2.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511104	1.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511105	0.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511114	1.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511115	14.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511121	6.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511122	24.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511123	12.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511124	2.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511125	7.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511126	2.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511127	2.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511128	1.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511129	1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511130	12.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511203	1.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511204	8.2
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511205	0.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511209	3.3
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511210	5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511211	4.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511212	1.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511213	23.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511214	7.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511215	1.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511216	0.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511217	0.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511221	0.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511227	1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511228	3.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511229	4.5
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19511230	8.1
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520101	6.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520104	2.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520105	2.9
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520106	4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520107	2.6
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520108	6.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520110	0
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520111	4.8
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520113	2.4
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520114	0.7
249180180	"USTROŃ-RÓWNICA-WIEŚ"	19520115	0.5
