"V1"	"V2"	"V3"	"V4"
249180250	"WISŁA-GŁĘBCE"	19510102	1.2
249180250	"WISŁA-GŁĘBCE"	19510103	7.6
249180250	"WISŁA-GŁĘBCE"	19510104	3.6
249180250	"WISŁA-GŁĘBCE"	19510105	2.1
249180250	"WISŁA-GŁĘBCE"	19510106	4.2
249180250	"WISŁA-GŁĘBCE"	19510113	14.7
249180250	"WISŁA-GŁĘBCE"	19510114	0
249180250	"WISŁA-GŁĘBCE"	19510115	5.5
249180250	"WISŁA-GŁĘBCE"	19510116	3
249180250	"WISŁA-GŁĘBCE"	19510117	2
249180250	"WISŁA-GŁĘBCE"	19510118	8.5
249180250	"WISŁA-GŁĘBCE"	19510119	20.5
249180250	"WISŁA-GŁĘBCE"	19510120	10
249180250	"WISŁA-GŁĘBCE"	19510121	20
249180250	"WISŁA-GŁĘBCE"	19510122	1
249180250	"WISŁA-GŁĘBCE"	19510125	1
249180250	"WISŁA-GŁĘBCE"	19510215	3
249180250	"WISŁA-GŁĘBCE"	19510218	0.5
249180250	"WISŁA-GŁĘBCE"	19510221	4
249180250	"WISŁA-GŁĘBCE"	19510225	5
249180250	"WISŁA-GŁĘBCE"	19510226	18
249180250	"WISŁA-GŁĘBCE"	19510227	5.1
249180250	"WISŁA-GŁĘBCE"	19510228	5.5
249180250	"WISŁA-GŁĘBCE"	19510304	2
249180250	"WISŁA-GŁĘBCE"	19510305	5.1
249180250	"WISŁA-GŁĘBCE"	19510306	6
249180250	"WISŁA-GŁĘBCE"	19510307	2
249180250	"WISŁA-GŁĘBCE"	19510308	8
249180250	"WISŁA-GŁĘBCE"	19510313	5
249180250	"WISŁA-GŁĘBCE"	19510316	4
249180250	"WISŁA-GŁĘBCE"	19510317	10
249180250	"WISŁA-GŁĘBCE"	19510318	8
249180250	"WISŁA-GŁĘBCE"	19510320	1.5
249180250	"WISŁA-GŁĘBCE"	19510323	3.1
249180250	"WISŁA-GŁĘBCE"	19510324	4.9
249180250	"WISŁA-GŁĘBCE"	19510325	17.1
249180250	"WISŁA-GŁĘBCE"	19510327	4
249180250	"WISŁA-GŁĘBCE"	19510329	0.5
249180250	"WISŁA-GŁĘBCE"	19510330	2
249180250	"WISŁA-GŁĘBCE"	19510331	1.5
249180250	"WISŁA-GŁĘBCE"	19510401	27
249180250	"WISŁA-GŁĘBCE"	19510408	12
249180250	"WISŁA-GŁĘBCE"	19510409	5
249180250	"WISŁA-GŁĘBCE"	19510414	6
249180250	"WISŁA-GŁĘBCE"	19510415	3
249180250	"WISŁA-GŁĘBCE"	19510420	5
249180250	"WISŁA-GŁĘBCE"	19510421	11
249180250	"WISŁA-GŁĘBCE"	19510422	10
249180250	"WISŁA-GŁĘBCE"	19510427	0.5
249180250	"WISŁA-GŁĘBCE"	19510428	2
249180250	"WISŁA-GŁĘBCE"	19510502	12
249180250	"WISŁA-GŁĘBCE"	19510503	20
249180250	"WISŁA-GŁĘBCE"	19510504	10
249180250	"WISŁA-GŁĘBCE"	19510505	5
249180250	"WISŁA-GŁĘBCE"	19510506	21
249180250	"WISŁA-GŁĘBCE"	19510509	4
249180250	"WISŁA-GŁĘBCE"	19510510	28
249180250	"WISŁA-GŁĘBCE"	19510511	34
249180250	"WISŁA-GŁĘBCE"	19510512	3
249180250	"WISŁA-GŁĘBCE"	19510514	10
249180250	"WISŁA-GŁĘBCE"	19510515	2
249180250	"WISŁA-GŁĘBCE"	19510516	15
249180250	"WISŁA-GŁĘBCE"	19510518	7
249180250	"WISŁA-GŁĘBCE"	19510521	7.2
249180250	"WISŁA-GŁĘBCE"	19510522	3.4
249180250	"WISŁA-GŁĘBCE"	19510523	8.1
249180250	"WISŁA-GŁĘBCE"	19510528	12.1
249180250	"WISŁA-GŁĘBCE"	19510603	2.1
249180250	"WISŁA-GŁĘBCE"	19510605	3
249180250	"WISŁA-GŁĘBCE"	19510606	2.6
249180250	"WISŁA-GŁĘBCE"	19510607	17.5
249180250	"WISŁA-GŁĘBCE"	19510608	3.4
249180250	"WISŁA-GŁĘBCE"	19510609	6.2
249180250	"WISŁA-GŁĘBCE"	19510613	3.1
249180250	"WISŁA-GŁĘBCE"	19510614	4.2
249180250	"WISŁA-GŁĘBCE"	19510618	6.5
249180250	"WISŁA-GŁĘBCE"	19510619	2
249180250	"WISŁA-GŁĘBCE"	19510624	24
249180250	"WISŁA-GŁĘBCE"	19510625	5
249180250	"WISŁA-GŁĘBCE"	19510628	12
249180250	"WISŁA-GŁĘBCE"	19510701	3.7
249180250	"WISŁA-GŁĘBCE"	19510702	2.1
249180250	"WISŁA-GŁĘBCE"	19510704	4.7
249180250	"WISŁA-GŁĘBCE"	19510709	0.3
249180250	"WISŁA-GŁĘBCE"	19510712	2.3
249180250	"WISŁA-GŁĘBCE"	19510713	18.1
249180250	"WISŁA-GŁĘBCE"	19510714	2.1
249180250	"WISŁA-GŁĘBCE"	19510715	18.2
249180250	"WISŁA-GŁĘBCE"	19510716	6.2
249180250	"WISŁA-GŁĘBCE"	19510717	0.3
249180250	"WISŁA-GŁĘBCE"	19510722	0.7
249180250	"WISŁA-GŁĘBCE"	19510723	5.3
249180250	"WISŁA-GŁĘBCE"	19510724	9.7
249180250	"WISŁA-GŁĘBCE"	19510725	17.2
249180250	"WISŁA-GŁĘBCE"	19510726	7.3
249180250	"WISŁA-GŁĘBCE"	19510727	4.2
249180250	"WISŁA-GŁĘBCE"	19510908	0.7
249180250	"WISŁA-GŁĘBCE"	19510915	2.1
249180250	"WISŁA-GŁĘBCE"	19510917	3.9
249180250	"WISŁA-GŁĘBCE"	19510918	6
249180250	"WISŁA-GŁĘBCE"	19510919	10
249180250	"WISŁA-GŁĘBCE"	19510920	12
249180250	"WISŁA-GŁĘBCE"	19510924	3.1
249180250	"WISŁA-GŁĘBCE"	19510926	2.6
249180250	"WISŁA-GŁĘBCE"	19510927	3.8
249180250	"WISŁA-GŁĘBCE"	19510928	1.7
249180250	"WISŁA-GŁĘBCE"	19510929	2.4
249180250	"WISŁA-GŁĘBCE"	19510930	1.2
249180250	"WISŁA-GŁĘBCE"	19511023	0
249180250	"WISŁA-GŁĘBCE"	19511102	7
249180250	"WISŁA-GŁĘBCE"	19511103	4.3
249180250	"WISŁA-GŁĘBCE"	19511104	2
