"V1"	"V2"	"V3"	"V4"
249189994	"BRENNA"	19501102	2.5
249189994	"BRENNA"	19501103	3.2
249189994	"BRENNA"	19501105	4.1
249189994	"BRENNA"	19501107	4.6
249189994	"BRENNA"	19501109	2.6
249189994	"BRENNA"	19501110	3.1
249189994	"BRENNA"	19501114	16.2
249189994	"BRENNA"	19501115	28.5
249189994	"BRENNA"	19501117	12
249189994	"BRENNA"	19501124	5
249189994	"BRENNA"	19501126	16.2
249189994	"BRENNA"	19501128	3.8
249189994	"BRENNA"	19501129	4.2
249189994	"BRENNA"	19501203	4
249189994	"BRENNA"	19501207	2
249189994	"BRENNA"	19501208	2.1
249189994	"BRENNA"	19501211	2.3
249189994	"BRENNA"	19501213	1.4
249189994	"BRENNA"	19501214	4.5
249189994	"BRENNA"	19501216	8.2
249189994	"BRENNA"	19501218	16.3
249189994	"BRENNA"	19501223	2.1
249189994	"BRENNA"	19501225	2
249189994	"BRENNA"	19501228	4.2
249189994	"BRENNA"	19510116	20
249189994	"BRENNA"	19510118	8
249189994	"BRENNA"	19510121	22
249189994	"BRENNA"	19510212	0.5
249189994	"BRENNA"	19510217	0.3
249189994	"BRENNA"	19510219	1.2
249189994	"BRENNA"	19510221	2.3
249189994	"BRENNA"	19510223	1.5
249189994	"BRENNA"	19510224	4.3
249189994	"BRENNA"	19510225	2.7
249189994	"BRENNA"	19510226	23.6
249189994	"BRENNA"	19510227	6.2
249189994	"BRENNA"	19510303	6.4
249189994	"BRENNA"	19510308	2.3
249189994	"BRENNA"	19510311	7.1
249189994	"BRENNA"	19510313	8.4
249189994	"BRENNA"	19510321	4
249189994	"BRENNA"	19510324	12.7
249189994	"BRENNA"	19510326	9.5
249189994	"BRENNA"	19510328	4.2
249189994	"BRENNA"	19510330	2.4
249189994	"BRENNA"	19510401	29.3
249189994	"BRENNA"	19510402	19.3
249189994	"BRENNA"	19510408	15.7
249189994	"BRENNA"	19510414	4
249189994	"BRENNA"	19510421	11
249189994	"BRENNA"	19510422	16
249189994	"BRENNA"	19510429	3.2
249189994	"BRENNA"	19510502	2.5
249189994	"BRENNA"	19510503	5.8
249189994	"BRENNA"	19510504	12.5
249189994	"BRENNA"	19510505	29.6
249189994	"BRENNA"	19510506	2.3
249189994	"BRENNA"	19510509	3.4
249189994	"BRENNA"	19510510	77.3
249189994	"BRENNA"	19510511	63
249189994	"BRENNA"	19510514	12.2
249189994	"BRENNA"	19510515	4
249189994	"BRENNA"	19510517	18.4
249189994	"BRENNA"	19510520	2.4
249189994	"BRENNA"	19510521	4.3
249189994	"BRENNA"	19510522	4.6
249189994	"BRENNA"	19510523	3.7
249189994	"BRENNA"	19510528	10.5
249189994	"BRENNA"	19510602	0.2
249189994	"BRENNA"	19510603	4
249189994	"BRENNA"	19510605	2.5
249189994	"BRENNA"	19510606	2.6
249189994	"BRENNA"	19510607	38
249189994	"BRENNA"	19510608	2.5
249189994	"BRENNA"	19510609	2.2
249189994	"BRENNA"	19510611	0.5
249189994	"BRENNA"	19510613	7.4
249189994	"BRENNA"	19510616	6.5
249189994	"BRENNA"	19510622	8.9
249189994	"BRENNA"	19510624	21.5
249189994	"BRENNA"	19510625	9.6
249189994	"BRENNA"	19510628	4
249189994	"BRENNA"	19510703	20
249189994	"BRENNA"	19510709	33
249189994	"BRENNA"	19510712	12.7
249189994	"BRENNA"	19510713	17
249189994	"BRENNA"	19510715	1.7
249189994	"BRENNA"	19510716	6.3
249189994	"BRENNA"	19510717	1.7
249189994	"BRENNA"	19510718	0.6
249189994	"BRENNA"	19510723	2.8
249189994	"BRENNA"	19510724	8.4
249189994	"BRENNA"	19510725	6.3
249189994	"BRENNA"	19510726	26.5
249189994	"BRENNA"	19510727	21.1
249189994	"BRENNA"	19510805	5.5
249189994	"BRENNA"	19510810	1.1
249189994	"BRENNA"	19510811	3
249189994	"BRENNA"	19510814	38.3
249189994	"BRENNA"	19510816	3.4
249189994	"BRENNA"	19510822	0.8
249189994	"BRENNA"	19510823	11.2
249189994	"BRENNA"	19510826	4.5
249189994	"BRENNA"	19510829	5.8
249189994	"BRENNA"	19510904	2.8
249189994	"BRENNA"	19510907	11.2
249189994	"BRENNA"	19510908	0.3
249189994	"BRENNA"	19510917	3.4
249189994	"BRENNA"	19510919	8.5
249189994	"BRENNA"	19510920	6
249189994	"BRENNA"	19510921	10.7
249189994	"BRENNA"	19510927	12.2
249189994	"BRENNA"	19510929	3.2
249189994	"BRENNA"	19511009	0.7
249189994	"BRENNA"	19511102	8.9
249189994	"BRENNA"	19511103	11.5
249189994	"BRENNA"	19511114	6.1
249189994	"BRENNA"	19511115	3.8
249189994	"BRENNA"	19511121	5.8
249189994	"BRENNA"	19511122	8.7
249189994	"BRENNA"	19511123	17.6
249189994	"BRENNA"	19511127	18.3
249189994	"BRENNA"	19511204	12.7
249189994	"BRENNA"	19511209	3.9
249189994	"BRENNA"	19511211	4.5
249189994	"BRENNA"	19511213	12
249189994	"BRENNA"	19511214	3
249189994	"BRENNA"	19511215	5
249189994	"BRENNA"	19511216	8
249189994	"BRENNA"	19511221	2.5
249189994	"BRENNA"	19511226	14.6
249189994	"BRENNA"	19511231	1.2
249189994	"BRENNA"	19520105	3.5
249189994	"BRENNA"	19520107	2.1
249189994	"BRENNA"	19520110	1.5
249189994	"BRENNA"	19520114	4.5
249189994	"BRENNA"	19520116	3.4
249189994	"BRENNA"	19520117	7.6
249189994	"BRENNA"	19520118	3.9
249189994	"BRENNA"	19520119	16.6
249189994	"BRENNA"	19520124	2.5
249189994	"BRENNA"	19520127	3.5
249189994	"BRENNA"	19520129	4.5
249189994	"BRENNA"	19520201	8.4
249189994	"BRENNA"	19520202	16.5
249189994	"BRENNA"	19520204	2.3
249189994	"BRENNA"	19520205	5.4
249189994	"BRENNA"	19520206	8.2
249189994	"BRENNA"	19520207	1.2
249189994	"BRENNA"	19520208	3.4
249189994	"BRENNA"	19520210	5.7
249189994	"BRENNA"	19520211	1.2
249189994	"BRENNA"	19520212	2.4
249189994	"BRENNA"	19520214	1.3
249189994	"BRENNA"	19520215	5.7
249189994	"BRENNA"	19520216	4.2
249189994	"BRENNA"	19520217	12.7
249189994	"BRENNA"	19520218	15.4
249189994	"BRENNA"	19520219	2.7
249189994	"BRENNA"	19520221	4.5
249189994	"BRENNA"	19520222	8.9
249189994	"BRENNA"	19520223	12.7
249189994	"BRENNA"	19520224	2.5
249189994	"BRENNA"	19520225	19.7
249189994	"BRENNA"	19520226	8.6
249189994	"BRENNA"	19520227	3.2
249189994	"BRENNA"	19520228	2.4
249189994	"BRENNA"	19520303	7.8
249189994	"BRENNA"	19520305	6.3
249189994	"BRENNA"	19520308	28
249189994	"BRENNA"	19520315	15.3
249189994	"BRENNA"	19520326	18
249189994	"BRENNA"	19520402	12.3
249189994	"BRENNA"	19520404	6.2
249189994	"BRENNA"	19520415	4.2
249189994	"BRENNA"	19520421	3.2
249189994	"BRENNA"	19520424	5.7
249189994	"BRENNA"	19520430	5.9
249189994	"BRENNA"	19520504	12.7
249189994	"BRENNA"	19520507	8.4
249189994	"BRENNA"	19520509	0.7
249189994	"BRENNA"	19520511	2.6
249189994	"BRENNA"	19520512	17.4
249189994	"BRENNA"	19520515	9
249189994	"BRENNA"	19520516	6
249189994	"BRENNA"	19520517	1
249189994	"BRENNA"	19520519	5.4
249189994	"BRENNA"	19520520	4.5
249189994	"BRENNA"	19520521	10.1
