"V1"	"V2"	"V3"	"V4"
249180280	"ISTEBNA-STECÓWKA"	19501101	0.9
249180280	"ISTEBNA-STECÓWKA"	19501102	0.3
249180280	"ISTEBNA-STECÓWKA"	19501104	2.6
249180280	"ISTEBNA-STECÓWKA"	19501105	1
249180280	"ISTEBNA-STECÓWKA"	19501106	0.6
249180280	"ISTEBNA-STECÓWKA"	19501107	2.5
249180280	"ISTEBNA-STECÓWKA"	19501108	1.8
249180280	"ISTEBNA-STECÓWKA"	19501113	1.6
249180280	"ISTEBNA-STECÓWKA"	19501114	11.2
249180280	"ISTEBNA-STECÓWKA"	19501115	26.2
249180280	"ISTEBNA-STECÓWKA"	19501116	0.8
249180280	"ISTEBNA-STECÓWKA"	19501117	13.8
249180280	"ISTEBNA-STECÓWKA"	19501123	10
249180280	"ISTEBNA-STECÓWKA"	19501125	6.5
249180280	"ISTEBNA-STECÓWKA"	19501128	15.2
249180280	"ISTEBNA-STECÓWKA"	19501129	0.9
249180280	"ISTEBNA-STECÓWKA"	19501130	1.5
249180280	"ISTEBNA-STECÓWKA"	19501203	5.3
249180280	"ISTEBNA-STECÓWKA"	19501204	1.7
249180280	"ISTEBNA-STECÓWKA"	19501205	1.2
249180280	"ISTEBNA-STECÓWKA"	19501210	10.7
249180280	"ISTEBNA-STECÓWKA"	19501212	3.2
249180280	"ISTEBNA-STECÓWKA"	19501213	1.4
249180280	"ISTEBNA-STECÓWKA"	19501216	7.5
249180280	"ISTEBNA-STECÓWKA"	19501217	3.6
249180280	"ISTEBNA-STECÓWKA"	19501218	4.2
249180280	"ISTEBNA-STECÓWKA"	19501219	10
249180280	"ISTEBNA-STECÓWKA"	19501225	3.6
249180280	"ISTEBNA-STECÓWKA"	19501226	3.8
249180280	"ISTEBNA-STECÓWKA"	19501230	0.6
249180280	"ISTEBNA-STECÓWKA"	19510103	1.5
249180280	"ISTEBNA-STECÓWKA"	19510113	10.5
249180280	"ISTEBNA-STECÓWKA"	19510114	4.2
249180280	"ISTEBNA-STECÓWKA"	19510115	8.3
249180280	"ISTEBNA-STECÓWKA"	19510116	7.6
249180280	"ISTEBNA-STECÓWKA"	19510117	2.8
249180280	"ISTEBNA-STECÓWKA"	19510118	12.5
249180280	"ISTEBNA-STECÓWKA"	19510119	22.4
249180280	"ISTEBNA-STECÓWKA"	19510120	33.5
249180280	"ISTEBNA-STECÓWKA"	19510121	48.5
249180280	"ISTEBNA-STECÓWKA"	19510122	4.3
249180280	"ISTEBNA-STECÓWKA"	19510214	2.6
249180280	"ISTEBNA-STECÓWKA"	19510218	2.7
249180280	"ISTEBNA-STECÓWKA"	19510220	4
249180280	"ISTEBNA-STECÓWKA"	19510223	6.3
249180280	"ISTEBNA-STECÓWKA"	19510225	8.9
249180280	"ISTEBNA-STECÓWKA"	19510226	15.8
249180280	"ISTEBNA-STECÓWKA"	19510227	5
249180280	"ISTEBNA-STECÓWKA"	19510228	6.1
249180280	"ISTEBNA-STECÓWKA"	19510303	1.8
249180280	"ISTEBNA-STECÓWKA"	19510305	5.1
249180280	"ISTEBNA-STECÓWKA"	19510306	5.4
249180280	"ISTEBNA-STECÓWKA"	19510307	1.6
249180280	"ISTEBNA-STECÓWKA"	19510308	1.2
249180280	"ISTEBNA-STECÓWKA"	19510309	10
249180280	"ISTEBNA-STECÓWKA"	19510312	0.9
249180280	"ISTEBNA-STECÓWKA"	19510314	3.5
249180280	"ISTEBNA-STECÓWKA"	19510317	9
249180280	"ISTEBNA-STECÓWKA"	19510318	6.7
249180280	"ISTEBNA-STECÓWKA"	19510319	10.4
249180280	"ISTEBNA-STECÓWKA"	19510320	4.9
249180280	"ISTEBNA-STECÓWKA"	19510321	4.8
249180280	"ISTEBNA-STECÓWKA"	19510323	2.2
249180280	"ISTEBNA-STECÓWKA"	19510324	11.8
249180280	"ISTEBNA-STECÓWKA"	19510325	3.2
249180280	"ISTEBNA-STECÓWKA"	19510327	2.8
249180280	"ISTEBNA-STECÓWKA"	19510328	2.4
249180280	"ISTEBNA-STECÓWKA"	19510329	2.5
249180280	"ISTEBNA-STECÓWKA"	19510330	5.3
249180280	"ISTEBNA-STECÓWKA"	19510401	34.5
249180280	"ISTEBNA-STECÓWKA"	19510408	8.5
249180280	"ISTEBNA-STECÓWKA"	19510409	8.7
249180280	"ISTEBNA-STECÓWKA"	19510414	2.8
249180280	"ISTEBNA-STECÓWKA"	19510415	0.8
249180280	"ISTEBNA-STECÓWKA"	19510419	4.6
249180280	"ISTEBNA-STECÓWKA"	19510420	1.4
249180280	"ISTEBNA-STECÓWKA"	19510421	13.4
249180280	"ISTEBNA-STECÓWKA"	19510422	8.2
249180280	"ISTEBNA-STECÓWKA"	19510430	1.7
249180280	"ISTEBNA-STECÓWKA"	19510503	32.8
249180280	"ISTEBNA-STECÓWKA"	19510504	5.4
249180280	"ISTEBNA-STECÓWKA"	19510505	5.2
249180280	"ISTEBNA-STECÓWKA"	19510506	23.8
249180280	"ISTEBNA-STECÓWKA"	19510509	2.3
249180280	"ISTEBNA-STECÓWKA"	19510510	32.5
249180280	"ISTEBNA-STECÓWKA"	19510511	29.2
249180280	"ISTEBNA-STECÓWKA"	19510514	7.7
249180280	"ISTEBNA-STECÓWKA"	19510515	1.1
249180280	"ISTEBNA-STECÓWKA"	19510516	13
249180280	"ISTEBNA-STECÓWKA"	19510518	7
249180280	"ISTEBNA-STECÓWKA"	19510520	1
249180280	"ISTEBNA-STECÓWKA"	19510521	7.8
249180280	"ISTEBNA-STECÓWKA"	19510522	2
249180280	"ISTEBNA-STECÓWKA"	19510523	5
249180280	"ISTEBNA-STECÓWKA"	19510528	6.2
249180280	"ISTEBNA-STECÓWKA"	19510603	2.4
249180280	"ISTEBNA-STECÓWKA"	19510604	3.2
249180280	"ISTEBNA-STECÓWKA"	19510605	17.2
249180280	"ISTEBNA-STECÓWKA"	19510606	2.5
249180280	"ISTEBNA-STECÓWKA"	19510607	13
249180280	"ISTEBNA-STECÓWKA"	19510609	11.7
249180280	"ISTEBNA-STECÓWKA"	19510611	2
249180280	"ISTEBNA-STECÓWKA"	19510613	6.7
249180280	"ISTEBNA-STECÓWKA"	19510618	0.2
249180280	"ISTEBNA-STECÓWKA"	19510619	5
249180280	"ISTEBNA-STECÓWKA"	19510624	26.2
249180280	"ISTEBNA-STECÓWKA"	19510625	9.6
249180280	"ISTEBNA-STECÓWKA"	19510628	3.9
249180280	"ISTEBNA-STECÓWKA"	19510630	1
249180280	"ISTEBNA-STECÓWKA"	19510703	0.8
249180280	"ISTEBNA-STECÓWKA"	19510704	0.3
249180280	"ISTEBNA-STECÓWKA"	19510712	0.9
249180280	"ISTEBNA-STECÓWKA"	19510713	15
249180280	"ISTEBNA-STECÓWKA"	19510715	14.6
249180280	"ISTEBNA-STECÓWKA"	19510716	10.5
249180280	"ISTEBNA-STECÓWKA"	19510718	0.8
249180280	"ISTEBNA-STECÓWKA"	19510723	2.7
249180280	"ISTEBNA-STECÓWKA"	19510724	12.2
249180280	"ISTEBNA-STECÓWKA"	19510725	13.8
249180280	"ISTEBNA-STECÓWKA"	19510726	8.8
249180280	"ISTEBNA-STECÓWKA"	19510727	4.3
249180280	"ISTEBNA-STECÓWKA"	19510805	5.5
249180280	"ISTEBNA-STECÓWKA"	19510809	3.8
249180280	"ISTEBNA-STECÓWKA"	19510810	0.8
249180280	"ISTEBNA-STECÓWKA"	19510811	4.5
249180280	"ISTEBNA-STECÓWKA"	19510814	28
249180280	"ISTEBNA-STECÓWKA"	19510816	6.5
249180280	"ISTEBNA-STECÓWKA"	19510817	2.6
249180280	"ISTEBNA-STECÓWKA"	19510822	20.8
249180280	"ISTEBNA-STECÓWKA"	19510823	4.6
249180280	"ISTEBNA-STECÓWKA"	19510824	0.7
249180280	"ISTEBNA-STECÓWKA"	19510826	6.5
249180280	"ISTEBNA-STECÓWKA"	19510827	3.3
249180280	"ISTEBNA-STECÓWKA"	19510903	0.9
249180280	"ISTEBNA-STECÓWKA"	19510917	3.4
249180280	"ISTEBNA-STECÓWKA"	19510919	5.7
249180280	"ISTEBNA-STECÓWKA"	19510920	14
249180280	"ISTEBNA-STECÓWKA"	19510921	2
249180280	"ISTEBNA-STECÓWKA"	19510924	2.4
249180280	"ISTEBNA-STECÓWKA"	19510927	8.9
249180280	"ISTEBNA-STECÓWKA"	19511023	2.4
249180280	"ISTEBNA-STECÓWKA"	19511102	4.5
249180280	"ISTEBNA-STECÓWKA"	19511103	2.4
249180280	"ISTEBNA-STECÓWKA"	19511104	0.4
249180280	"ISTEBNA-STECÓWKA"	19511114	2.8
249180280	"ISTEBNA-STECÓWKA"	19511115	3.6
249180280	"ISTEBNA-STECÓWKA"	19511121	10
249180280	"ISTEBNA-STECÓWKA"	19511122	25.8
249180280	"ISTEBNA-STECÓWKA"	19511123	12.6
249180280	"ISTEBNA-STECÓWKA"	19511124	5
249180280	"ISTEBNA-STECÓWKA"	19511126	5.7
249180280	"ISTEBNA-STECÓWKA"	19511127	4.2
249180280	"ISTEBNA-STECÓWKA"	19511128	10.7
249180280	"ISTEBNA-STECÓWKA"	19511130	20.6
249180280	"ISTEBNA-STECÓWKA"	19511203	2.2
249180280	"ISTEBNA-STECÓWKA"	19511204	27.1
249180280	"ISTEBNA-STECÓWKA"	19511209	2
249180280	"ISTEBNA-STECÓWKA"	19511210	10.8
249180280	"ISTEBNA-STECÓWKA"	19511211	3.2
249180280	"ISTEBNA-STECÓWKA"	19511212	4.5
249180280	"ISTEBNA-STECÓWKA"	19511213	26
249180280	"ISTEBNA-STECÓWKA"	19511214	6.7
249180280	"ISTEBNA-STECÓWKA"	19511215	2.6
249180280	"ISTEBNA-STECÓWKA"	19511226	1.1
249180280	"ISTEBNA-STECÓWKA"	19511227	2
249180280	"ISTEBNA-STECÓWKA"	19511228	7.2
249180280	"ISTEBNA-STECÓWKA"	19511229	3.2
249180280	"ISTEBNA-STECÓWKA"	19511230	9.5
249180280	"ISTEBNA-STECÓWKA"	19511231	1.2
249180280	"ISTEBNA-STECÓWKA"	19520101	5.2
249180280	"ISTEBNA-STECÓWKA"	19520104	3
249180280	"ISTEBNA-STECÓWKA"	19520105	7.7
249180280	"ISTEBNA-STECÓWKA"	19520106	7.5
249180280	"ISTEBNA-STECÓWKA"	19520107	5.5
249180280	"ISTEBNA-STECÓWKA"	19520111	4.9
249180280	"ISTEBNA-STECÓWKA"	19520112	1.2
249180280	"ISTEBNA-STECÓWKA"	19520113	6.5
249180280	"ISTEBNA-STECÓWKA"	19520114	2.8
249180280	"ISTEBNA-STECÓWKA"	19520115	1.7
249180280	"ISTEBNA-STECÓWKA"	19520118	15.7
249180280	"ISTEBNA-STECÓWKA"	19520119	14
249180280	"ISTEBNA-STECÓWKA"	19520120	12.8
249180280	"ISTEBNA-STECÓWKA"	19520121	5
249180280	"ISTEBNA-STECÓWKA"	19520127	16
249180280	"ISTEBNA-STECÓWKA"	19520128	3.4
249180280	"ISTEBNA-STECÓWKA"	19520201	14.5
249180280	"ISTEBNA-STECÓWKA"	19520202	5
249180280	"ISTEBNA-STECÓWKA"	19520203	2
249180280	"ISTEBNA-STECÓWKA"	19520204	20.3
249180280	"ISTEBNA-STECÓWKA"	19520205	31.2
249180280	"ISTEBNA-STECÓWKA"	19520206	5
249180280	"ISTEBNA-STECÓWKA"	19520208	5.2
249180280	"ISTEBNA-STECÓWKA"	19520209	4.5
249180280	"ISTEBNA-STECÓWKA"	19520210	7.8
249180280	"ISTEBNA-STECÓWKA"	19520211	21
249180280	"ISTEBNA-STECÓWKA"	19520214	26.4
249180280	"ISTEBNA-STECÓWKA"	19520215	36.5
249180280	"ISTEBNA-STECÓWKA"	19520216	2.5
249180280	"ISTEBNA-STECÓWKA"	19520217	7
249180280	"ISTEBNA-STECÓWKA"	19520218	6.8
249180280	"ISTEBNA-STECÓWKA"	19520219	2.3
249180280	"ISTEBNA-STECÓWKA"	19520220	10
249180280	"ISTEBNA-STECÓWKA"	19520221	10
249180280	"ISTEBNA-STECÓWKA"	19520222	16.5
249180280	"ISTEBNA-STECÓWKA"	19520223	6.8
249180280	"ISTEBNA-STECÓWKA"	19520224	6.8
249180280	"ISTEBNA-STECÓWKA"	19520226	13.5
249180280	"ISTEBNA-STECÓWKA"	19520227	4.8
249180280	"ISTEBNA-STECÓWKA"	19520228	10.5
249180280	"ISTEBNA-STECÓWKA"	19520302	4.6
249180280	"ISTEBNA-STECÓWKA"	19520304	3.5
249180280	"ISTEBNA-STECÓWKA"	19520305	5.9
249180280	"ISTEBNA-STECÓWKA"	19520306	16.1
249180280	"ISTEBNA-STECÓWKA"	19520313	24.3
249180280	"ISTEBNA-STECÓWKA"	19520314	5.2
249180280	"ISTEBNA-STECÓWKA"	19520322	6.8
249180280	"ISTEBNA-STECÓWKA"	19520323	7.4
249180280	"ISTEBNA-STECÓWKA"	19520324	10.7
249180280	"ISTEBNA-STECÓWKA"	19520326	15
249180280	"ISTEBNA-STECÓWKA"	19520330	1.6
249180280	"ISTEBNA-STECÓWKA"	19520401	16.7
249180280	"ISTEBNA-STECÓWKA"	19520406	5.8
249180280	"ISTEBNA-STECÓWKA"	19520425	0.5
249180280	"ISTEBNA-STECÓWKA"	19520426	0.4
249180280	"ISTEBNA-STECÓWKA"	19520428	0.2
249180280	"ISTEBNA-STECÓWKA"	19520429	2.9
249180280	"ISTEBNA-STECÓWKA"	19520505	1.6
249180280	"ISTEBNA-STECÓWKA"	19520506	2.8
249180280	"ISTEBNA-STECÓWKA"	19520507	13.2
249180280	"ISTEBNA-STECÓWKA"	19520509	0.6
249180280	"ISTEBNA-STECÓWKA"	19520510	0.3
