"V1"	"V2"	"V3"	"V4"
249180120	"SKOCZÓW"	19501101	2.1
249180120	"SKOCZÓW"	19501105	2.1
249180120	"SKOCZÓW"	19501107	2.9
249180120	"SKOCZÓW"	19501108	0.5
249180120	"SKOCZÓW"	19501111	0.6
249180120	"SKOCZÓW"	19501114	12.6
249180120	"SKOCZÓW"	19501115	12.3
249180120	"SKOCZÓW"	19501116	0.6
249180120	"SKOCZÓW"	19501117	0.4
249180120	"SKOCZÓW"	19501120	0.3
249180120	"SKOCZÓW"	19501125	0.7
249180120	"SKOCZÓW"	19501126	0.2
249180120	"SKOCZÓW"	19501128	4.6
249180120	"SKOCZÓW"	19501129	0.4
249180120	"SKOCZÓW"	19501203	8.7
249180120	"SKOCZÓW"	19501204	0.2
249180120	"SKOCZÓW"	19501205	0.3
249180120	"SKOCZÓW"	19501206	0
249180120	"SKOCZÓW"	19501207	0.4
249180120	"SKOCZÓW"	19501209	1.3
249180120	"SKOCZÓW"	19501210	9.3
249180120	"SKOCZÓW"	19501212	6.4
249180120	"SKOCZÓW"	19501213	0.5
249180120	"SKOCZÓW"	19501217	10
249180120	"SKOCZÓW"	19501218	4.6
249180120	"SKOCZÓW"	19501219	10.4
249180120	"SKOCZÓW"	19501220	8
249180120	"SKOCZÓW"	19501224	0.3
249180120	"SKOCZÓW"	19501225	5.5
249180120	"SKOCZÓW"	19501226	0.3
249180120	"SKOCZÓW"	19501230	0.3
249180120	"SKOCZÓW"	19510103	0.6
249180120	"SKOCZÓW"	19510105	5.6
249180120	"SKOCZÓW"	19510106	0.2
249180120	"SKOCZÓW"	19510107	1.2
249180120	"SKOCZÓW"	19510108	0.6
249180120	"SKOCZÓW"	19510113	7.1
249180120	"SKOCZÓW"	19510114	0.2
249180120	"SKOCZÓW"	19510115	3.5
249180120	"SKOCZÓW"	19510117	0.5
249180120	"SKOCZÓW"	19510118	1.8
249180120	"SKOCZÓW"	19510119	12.2
249180120	"SKOCZÓW"	19510120	6.7
249180120	"SKOCZÓW"	19510121	0.6
249180120	"SKOCZÓW"	19510122	0.2
249180120	"SKOCZÓW"	19510123	1.2
249180120	"SKOCZÓW"	19510125	0.5
249180120	"SKOCZÓW"	19510214	6.5
249180120	"SKOCZÓW"	19510219	0.9
249180120	"SKOCZÓW"	19510221	1.1
249180120	"SKOCZÓW"	19510225	6.1
249180120	"SKOCZÓW"	19510226	16.9
249180120	"SKOCZÓW"	19510227	1.9
249180120	"SKOCZÓW"	19510228	2.1
249180120	"SKOCZÓW"	19510303	3.3
249180120	"SKOCZÓW"	19510304	0.7
249180120	"SKOCZÓW"	19510305	1.7
249180120	"SKOCZÓW"	19510306	2.3
249180120	"SKOCZÓW"	19510307	2.6
249180120	"SKOCZÓW"	19510308	6.4
249180120	"SKOCZÓW"	19510309	1.3
249180120	"SKOCZÓW"	19510310	0.4
249180120	"SKOCZÓW"	19510312	0.3
249180120	"SKOCZÓW"	19510314	1.3
249180120	"SKOCZÓW"	19510317	8
249180120	"SKOCZÓW"	19510318	6
249180120	"SKOCZÓW"	19510319	2
249180120	"SKOCZÓW"	19510320	1.2
249180120	"SKOCZÓW"	19510321	0.1
249180120	"SKOCZÓW"	19510323	8.2
249180120	"SKOCZÓW"	19510324	3.5
249180120	"SKOCZÓW"	19510325	2.1
249180120	"SKOCZÓW"	19510327	2.6
249180120	"SKOCZÓW"	19510328	0.8
249180120	"SKOCZÓW"	19510329	2.8
249180120	"SKOCZÓW"	19510330	1.3
249180120	"SKOCZÓW"	19510331	14.3
249180120	"SKOCZÓW"	19510401	28.7
249180120	"SKOCZÓW"	19510408	10.5
249180120	"SKOCZÓW"	19510409	7.1
249180120	"SKOCZÓW"	19510414	3.7
249180120	"SKOCZÓW"	19510419	5.6
249180120	"SKOCZÓW"	19510421	13.5
249180120	"SKOCZÓW"	19510422	0.2
249180120	"SKOCZÓW"	19510428	1.6
249180120	"SKOCZÓW"	19510502	5.6
249180120	"SKOCZÓW"	19510503	4.9
249180120	"SKOCZÓW"	19510504	9.3
249180120	"SKOCZÓW"	19510505	7.4
249180120	"SKOCZÓW"	19510506	17.3
249180120	"SKOCZÓW"	19510508	3.6
249180120	"SKOCZÓW"	19510509	2.6
249180120	"SKOCZÓW"	19510510	45.1
249180120	"SKOCZÓW"	19510511	47.8
249180120	"SKOCZÓW"	19510514	7.2
249180120	"SKOCZÓW"	19510515	1.7
249180120	"SKOCZÓW"	19510516	16.2
249180120	"SKOCZÓW"	19510518	13.2
249180120	"SKOCZÓW"	19510520	1.2
249180120	"SKOCZÓW"	19510521	2.3
249180120	"SKOCZÓW"	19510522	7.3
249180120	"SKOCZÓW"	19510523	2.6
249180120	"SKOCZÓW"	19510529	7.9
249180120	"SKOCZÓW"	19510530	0.6
249180120	"SKOCZÓW"	19510531	1.2
249180120	"SKOCZÓW"	19510603	1.2
249180120	"SKOCZÓW"	19510604	4.5
249180120	"SKOCZÓW"	19510605	3.2
249180120	"SKOCZÓW"	19510606	1.5
249180120	"SKOCZÓW"	19510607	17.1
249180120	"SKOCZÓW"	19510608	3.1
249180120	"SKOCZÓW"	19510609	2.9
249180120	"SKOCZÓW"	19510610	3.2
249180120	"SKOCZÓW"	19510611	0.2
249180120	"SKOCZÓW"	19510613	4.8
249180120	"SKOCZÓW"	19510618	5.4
249180120	"SKOCZÓW"	19510619	1.8
249180120	"SKOCZÓW"	19510624	18.8
249180120	"SKOCZÓW"	19510625	4.2
249180120	"SKOCZÓW"	19510628	0.6
249180120	"SKOCZÓW"	19510629	1.4
249180120	"SKOCZÓW"	19510703	3.4
249180120	"SKOCZÓW"	19510705	2.6
249180120	"SKOCZÓW"	19510709	1.4
249180120	"SKOCZÓW"	19510712	25.9
249180120	"SKOCZÓW"	19510713	18.1
249180120	"SKOCZÓW"	19510715	2.8
249180120	"SKOCZÓW"	19510716	2.9
249180120	"SKOCZÓW"	19510720	0.3
249180120	"SKOCZÓW"	19510721	0
249180120	"SKOCZÓW"	19510723	2.1
249180120	"SKOCZÓW"	19510724	7.4
249180120	"SKOCZÓW"	19510725	3.8
249180120	"SKOCZÓW"	19510726	3.6
249180120	"SKOCZÓW"	19510727	10.5
249180120	"SKOCZÓW"	19510730	0
249180120	"SKOCZÓW"	19510805	10.6
249180120	"SKOCZÓW"	19510809	9.9
249180120	"SKOCZÓW"	19510811	8
249180120	"SKOCZÓW"	19510814	9.9
249180120	"SKOCZÓW"	19510816	0
249180120	"SKOCZÓW"	19510817	3.9
249180120	"SKOCZÓW"	19510822	1.7
249180120	"SKOCZÓW"	19510823	7.9
249180120	"SKOCZÓW"	19510824	1.6
249180120	"SKOCZÓW"	19510827	1.1
249180120	"SKOCZÓW"	19510914	0
249180120	"SKOCZÓW"	19510915	0.3
249180120	"SKOCZÓW"	19510917	0.5
249180120	"SKOCZÓW"	19510919	5.7
249180120	"SKOCZÓW"	19510920	8.4
249180120	"SKOCZÓW"	19510921	3.2
249180120	"SKOCZÓW"	19510924	2.6
249180120	"SKOCZÓW"	19510927	5.8
249180120	"SKOCZÓW"	19510928	8.6
249180120	"SKOCZÓW"	19510929	1.3
249180120	"SKOCZÓW"	19511022	0.7
249180120	"SKOCZÓW"	19511102	5.8
249180120	"SKOCZÓW"	19511103	2.1
249180120	"SKOCZÓW"	19511104	3.4
249180120	"SKOCZÓW"	19511109	1.4
249180120	"SKOCZÓW"	19511115	4.6
249180120	"SKOCZÓW"	19511121	3.8
249180120	"SKOCZÓW"	19511122	21
249180120	"SKOCZÓW"	19511123	7.3
249180120	"SKOCZÓW"	19511125	5.6
249180120	"SKOCZÓW"	19511126	2.3
249180120	"SKOCZÓW"	19511128	3.2
249180120	"SKOCZÓW"	19511130	8.3
249180120	"SKOCZÓW"	19511203	3.2
249180120	"SKOCZÓW"	19511204	7
249180120	"SKOCZÓW"	19511210	6.4
249180120	"SKOCZÓW"	19511211	2.6
249180120	"SKOCZÓW"	19511212	1
249180120	"SKOCZÓW"	19511213	12.5
249180120	"SKOCZÓW"	19511214	2.6
249180120	"SKOCZÓW"	19511215	1.2
249180120	"SKOCZÓW"	19511228	3.5
249180120	"SKOCZÓW"	19511229	1.5
249180120	"SKOCZÓW"	19511230	2.1
249180120	"SKOCZÓW"	19520104	1.7
249180120	"SKOCZÓW"	19520105	0
249180120	"SKOCZÓW"	19520106	0.9
249180120	"SKOCZÓW"	19520107	0.9
249180120	"SKOCZÓW"	19520108	3.1
249180120	"SKOCZÓW"	19520111	1.6
249180120	"SKOCZÓW"	19520113	1.1
249180120	"SKOCZÓW"	19520114	0.3
249180120	"SKOCZÓW"	19520117	2.3
249180120	"SKOCZÓW"	19520118	13.5
249180120	"SKOCZÓW"	19520119	10.7
249180120	"SKOCZÓW"	19520120	7.8
249180120	"SKOCZÓW"	19520121	5.4
249180120	"SKOCZÓW"	19520122	0.2
249180120	"SKOCZÓW"	19520125	0.1
249180120	"SKOCZÓW"	19520126	3.9
249180120	"SKOCZÓW"	19520127	5
249180120	"SKOCZÓW"	19520128	1.5
249180120	"SKOCZÓW"	19520131	2.9
249180120	"SKOCZÓW"	19520201	7.6
249180120	"SKOCZÓW"	19520202	3.4
249180120	"SKOCZÓW"	19520203	1.1
249180120	"SKOCZÓW"	19520204	12.5
249180120	"SKOCZÓW"	19520205	2.7
249180120	"SKOCZÓW"	19520206	0.1
249180120	"SKOCZÓW"	19520208	1.1
249180120	"SKOCZÓW"	19520210	0.4
249180120	"SKOCZÓW"	19520211	3.5
249180120	"SKOCZÓW"	19520214	17.5
249180120	"SKOCZÓW"	19520215	14.8
249180120	"SKOCZÓW"	19520216	4.6
249180120	"SKOCZÓW"	19520217	8.3
249180120	"SKOCZÓW"	19520218	2.1
249180120	"SKOCZÓW"	19520219	1.5
249180120	"SKOCZÓW"	19520220	2.4
249180120	"SKOCZÓW"	19520221	5.1
249180120	"SKOCZÓW"	19520222	8.2
249180120	"SKOCZÓW"	19520223	1.1
249180120	"SKOCZÓW"	19520224	1.2
249180120	"SKOCZÓW"	19520225	0.1
249180120	"SKOCZÓW"	19520226	9
249180120	"SKOCZÓW"	19520227	2
249180120	"SKOCZÓW"	19520228	3
249180120	"SKOCZÓW"	19520229	3.1
249180120	"SKOCZÓW"	19520301	0.6
249180120	"SKOCZÓW"	19520302	3.5
249180120	"SKOCZÓW"	19520303	1
249180120	"SKOCZÓW"	19520304	0.4
249180120	"SKOCZÓW"	19520305	2.3
249180120	"SKOCZÓW"	19520306	1.6
249180120	"SKOCZÓW"	19520307	0.2
249180120	"SKOCZÓW"	19520313	5.3
249180120	"SKOCZÓW"	19520314	0.3
249180120	"SKOCZÓW"	19520322	3.2
249180120	"SKOCZÓW"	19520323	0.6
249180120	"SKOCZÓW"	19520324	5.4
249180120	"SKOCZÓW"	19520325	2.9
249180120	"SKOCZÓW"	19520326	11.4
249180120	"SKOCZÓW"	19520327	0.2
249180120	"SKOCZÓW"	19520329	0.6
249180120	"SKOCZÓW"	19520331	0
249180120	"SKOCZÓW"	19520401	14.6
249180120	"SKOCZÓW"	19520402	0.7
249180120	"SKOCZÓW"	19520409	1.4
249180120	"SKOCZÓW"	19520416	10.6
249180120	"SKOCZÓW"	19520421	1.3
249180120	"SKOCZÓW"	19520425	0.7
249180120	"SKOCZÓW"	19520426	0.5
249180120	"SKOCZÓW"	19520427	0.4
249180120	"SKOCZÓW"	19520428	8.3
249180120	"SKOCZÓW"	19520506	2.1
249180120	"SKOCZÓW"	19520507	8.9
249180120	"SKOCZÓW"	19520509	0.3
249180120	"SKOCZÓW"	19520511	0.2
249180120	"SKOCZÓW"	19520512	9.6
249180120	"SKOCZÓW"	19520513	0.7
249180120	"SKOCZÓW"	19520515	3.2
249180120	"SKOCZÓW"	19520516	4.3
249180120	"SKOCZÓW"	19520517	0.7
249180120	"SKOCZÓW"	19520519	4.1
249180120	"SKOCZÓW"	19520520	1.3
249180120	"SKOCZÓW"	19520521	2.1
249180120	"SKOCZÓW"	19520524	13.5
249180120	"SKOCZÓW"	19520525	3.2
249180120	"SKOCZÓW"	19520526	7.8
249180120	"SKOCZÓW"	19520527	1.5
249180120	"SKOCZÓW"	19520529	6.3
249180120	"SKOCZÓW"	19520601	6.4
249180120	"SKOCZÓW"	19520602	0.8
249180120	"SKOCZÓW"	19520603	3.6
249180120	"SKOCZÓW"	19520606	0.4
249180120	"SKOCZÓW"	19520607	9.8
249180120	"SKOCZÓW"	19520608	1.3
249180120	"SKOCZÓW"	19520609	3.6
249180120	"SKOCZÓW"	19520610	6.9
249180120	"SKOCZÓW"	19520611	11.9
249180120	"SKOCZÓW"	19520612	0
249180120	"SKOCZÓW"	19520614	60
249180120	"SKOCZÓW"	19520616	16.3
249180120	"SKOCZÓW"	19520618	6.1
249180120	"SKOCZÓW"	19520619	24.1
249180120	"SKOCZÓW"	19520620	20.6
249180120	"SKOCZÓW"	19520623	4.2
249180120	"SKOCZÓW"	19520624	9.3
249180120	"SKOCZÓW"	19520625	0.3
249180120	"SKOCZÓW"	19520626	8.1
249180120	"SKOCZÓW"	19520627	4.2
249180120	"SKOCZÓW"	19520714	8.3
249180120	"SKOCZÓW"	19520716	0.3
249180120	"SKOCZÓW"	19520718	3.4
249180120	"SKOCZÓW"	19520720	0.6
249180120	"SKOCZÓW"	19520723	2.8
249180120	"SKOCZÓW"	19520725	4.6
249180120	"SKOCZÓW"	19520728	0
249180120	"SKOCZÓW"	19520729	1.9
249180120	"SKOCZÓW"	19520808	7.8
249180120	"SKOCZÓW"	19520816	17
249180120	"SKOCZÓW"	19520817	1.1
249180120	"SKOCZÓW"	19520818	5.6
249180120	"SKOCZÓW"	19520820	28.5
249180120	"SKOCZÓW"	19520821	0.9
249180120	"SKOCZÓW"	19520822	15.7
249180120	"SKOCZÓW"	19520825	2.4
