"V1"	"V2"	"V3"	"V4"
249180210	"SZCZYRK"	19510809	7.2
249180210	"SZCZYRK"	19510810	2.5
249180210	"SZCZYRK"	19510811	2.1
249180210	"SZCZYRK"	19510814	4.3
249180210	"SZCZYRK"	19510816	4.3
249180210	"SZCZYRK"	19510817	6.8
249180210	"SZCZYRK"	19510822	4.2
249180210	"SZCZYRK"	19510823	5.8
249180210	"SZCZYRK"	19510825	0
249180210	"SZCZYRK"	19510826	1
249180210	"SZCZYRK"	19510827	2.3
249180210	"SZCZYRK"	19510908	13.5
249180210	"SZCZYRK"	19510918	2.2
249180210	"SZCZYRK"	19510919	7.1
249180210	"SZCZYRK"	19510920	15.2
249180210	"SZCZYRK"	19510921	10.2
249180210	"SZCZYRK"	19510922	0.3
249180210	"SZCZYRK"	19510926	2.1
249180210	"SZCZYRK"	19510927	6.3
249180210	"SZCZYRK"	19510928	2.1
249180210	"SZCZYRK"	19511008	0
249180210	"SZCZYRK"	19511012	0.3
249180210	"SZCZYRK"	19511016	0
249180210	"SZCZYRK"	19511022	0.3
249180210	"SZCZYRK"	19511023	0
249180210	"SZCZYRK"	19511024	2.5
249180210	"SZCZYRK"	19511028	0
249180210	"SZCZYRK"	19511102	4.5
249180210	"SZCZYRK"	19511103	4.1
249180210	"SZCZYRK"	19511114	4.3
249180210	"SZCZYRK"	19511115	1.2
249180210	"SZCZYRK"	19511116	4
249180210	"SZCZYRK"	19511117	5
249180210	"SZCZYRK"	19511121	9.1
249180210	"SZCZYRK"	19511122	10.5
249180210	"SZCZYRK"	19511123	16.4
249180210	"SZCZYRK"	19511124	0.4
249180210	"SZCZYRK"	19511127	2.5
249180210	"SZCZYRK"	19511128	7.4
249180210	"SZCZYRK"	19511129	14.1
249180210	"SZCZYRK"	19511130	2.4
249180210	"SZCZYRK"	19511202	1.9
249180210	"SZCZYRK"	19511203	0.6
249180210	"SZCZYRK"	19511204	23.1
249180210	"SZCZYRK"	19511207	0.4
249180210	"SZCZYRK"	19511210	6.5
249180210	"SZCZYRK"	19511211	0.4
249180210	"SZCZYRK"	19511212	1.5
249180210	"SZCZYRK"	19511213	19.2
249180210	"SZCZYRK"	19511214	7.2
249180210	"SZCZYRK"	19511215	5.1
249180210	"SZCZYRK"	19511216	4.9
249180210	"SZCZYRK"	19511228	2.3
249180210	"SZCZYRK"	19511229	7.9
249180210	"SZCZYRK"	19511230	7.1
249180210	"SZCZYRK"	19520104	0.6
249180210	"SZCZYRK"	19520105	1.1
249180210	"SZCZYRK"	19520106	1.9
249180210	"SZCZYRK"	19520107	2.3
249180210	"SZCZYRK"	19520108	3.1
249180210	"SZCZYRK"	19520111	6.6
249180210	"SZCZYRK"	19520112	2.3
249180210	"SZCZYRK"	19520113	9.5
249180210	"SZCZYRK"	19520116	2.3
249180210	"SZCZYRK"	19520117	2.4
249180210	"SZCZYRK"	19520118	1.6
249180210	"SZCZYRK"	19520120	11.2
249180210	"SZCZYRK"	19520122	2.1
249180210	"SZCZYRK"	19520123	2.2
249180210	"SZCZYRK"	19520125	2.4
249180210	"SZCZYRK"	19520127	3
249180210	"SZCZYRK"	19520129	1.1
249180210	"SZCZYRK"	19520130	2.1
249180210	"SZCZYRK"	19520201	3.1
249180210	"SZCZYRK"	19520202	5.2
249180210	"SZCZYRK"	19520203	4.7
249180210	"SZCZYRK"	19520204	3.2
249180210	"SZCZYRK"	19520205	5.2
249180210	"SZCZYRK"	19520206	1.1
249180210	"SZCZYRK"	19520207	1.2
249180210	"SZCZYRK"	19520209	1.1
249180210	"SZCZYRK"	19520210	0
249180210	"SZCZYRK"	19520211	6.8
249180210	"SZCZYRK"	19520212	5.2
249180210	"SZCZYRK"	19520213	1.2
249180210	"SZCZYRK"	19520214	4.3
249180210	"SZCZYRK"	19520215	10.2
249180210	"SZCZYRK"	19520216	14.3
249180210	"SZCZYRK"	19520217	2.1
249180210	"SZCZYRK"	19520218	5.2
249180210	"SZCZYRK"	19520219	6.3
249180210	"SZCZYRK"	19520222	24.1
249180210	"SZCZYRK"	19520225	2.6
249180210	"SZCZYRK"	19520226	2.7
249180210	"SZCZYRK"	19520227	2.4
249180210	"SZCZYRK"	19520228	3.9
249180210	"SZCZYRK"	19520229	1.3
249180210	"SZCZYRK"	19520301	4.1
249180210	"SZCZYRK"	19520302	6.2
249180210	"SZCZYRK"	19520303	7.5
249180210	"SZCZYRK"	19520304	10.1
249180210	"SZCZYRK"	19520305	4.2
249180210	"SZCZYRK"	19520306	7
249180210	"SZCZYRK"	19520307	1.1
249180210	"SZCZYRK"	19520318	3.9
249180210	"SZCZYRK"	19520319	1.1
249180210	"SZCZYRK"	19520322	2.1
249180210	"SZCZYRK"	19520324	8.2
249180210	"SZCZYRK"	19520325	8.7
249180210	"SZCZYRK"	19520326	4.2
249180210	"SZCZYRK"	19520327	5.1
249180210	"SZCZYRK"	19520401	10.8
249180210	"SZCZYRK"	19520402	3.1
249180210	"SZCZYRK"	19520426	1.4
249180210	"SZCZYRK"	19520428	5.8
249180210	"SZCZYRK"	19520501	7.2
249180210	"SZCZYRK"	19520505	4.1
249180210	"SZCZYRK"	19520508	1.5
249180210	"SZCZYRK"	19520509	4.3
249180210	"SZCZYRK"	19520510	4.1
249180210	"SZCZYRK"	19520512	5.2
249180210	"SZCZYRK"	19520514	8.2
249180210	"SZCZYRK"	19520515	4.2
249180210	"SZCZYRK"	19520516	3.5
249180210	"SZCZYRK"	19520522	2.1
249180210	"SZCZYRK"	19520523	3.3
249180210	"SZCZYRK"	19520524	1.5
249180210	"SZCZYRK"	19520525	4.4
249180210	"SZCZYRK"	19520526	3.7
249180210	"SZCZYRK"	19520528	2.3
249180210	"SZCZYRK"	19520530	4.1
249180210	"SZCZYRK"	19520601	1.8
249180210	"SZCZYRK"	19520602	9.5
249180210	"SZCZYRK"	19520603	3.2
249180210	"SZCZYRK"	19520604	2.1
249180210	"SZCZYRK"	19520610	4.2
249180210	"SZCZYRK"	19520611	13.2
249180210	"SZCZYRK"	19520613	2.3
249180210	"SZCZYRK"	19520614	1.6
249180210	"SZCZYRK"	19520616	9.2
249180210	"SZCZYRK"	19520620	2.3
249180210	"SZCZYRK"	19520624	2.5
249180210	"SZCZYRK"	19520625	7.6
249180210	"SZCZYRK"	19520627	4.2
249180210	"SZCZYRK"	19520628	5.4
249180210	"SZCZYRK"	19520713	2.3
249180210	"SZCZYRK"	19520714	1.2
249180210	"SZCZYRK"	19520718	1.2
249180210	"SZCZYRK"	19520723	2.4
249180210	"SZCZYRK"	19520724	5.3
249180210	"SZCZYRK"	19520725	3.2
249180210	"SZCZYRK"	19520726	2.3
249180210	"SZCZYRK"	19520801	2.3
249180210	"SZCZYRK"	19520819	2.5
249180210	"SZCZYRK"	19520820	3.2
249180210	"SZCZYRK"	19520822	8.4
249180210	"SZCZYRK"	19520823	2.1
249180210	"SZCZYRK"	19520824	1.2
249180210	"SZCZYRK"	19520825	3.1
249180210	"SZCZYRK"	19520829	0
249180210	"SZCZYRK"	19520830	4.3
249180210	"SZCZYRK"	19520901	2.1
249180210	"SZCZYRK"	19520902	1.2
249180210	"SZCZYRK"	19520903	2.5
249180210	"SZCZYRK"	19520904	3.2
249180210	"SZCZYRK"	19520906	13.8
249180210	"SZCZYRK"	19520907	0
249180210	"SZCZYRK"	19520908	5.8
249180210	"SZCZYRK"	19520909	2.3
249180210	"SZCZYRK"	19520910	1.9
249180210	"SZCZYRK"	19520911	4.2
249180210	"SZCZYRK"	19520912	2.3
249180210	"SZCZYRK"	19520915	2.3
249180210	"SZCZYRK"	19520918	3.2
249180210	"SZCZYRK"	19520919	8.4
249180210	"SZCZYRK"	19520920	2.1
249180210	"SZCZYRK"	19520922	1.4
249180210	"SZCZYRK"	19520923	3.9
249180210	"SZCZYRK"	19520924	2.3
249180210	"SZCZYRK"	19520925	1.3
249180210	"SZCZYRK"	19520926	0
249180210	"SZCZYRK"	19520927	2.4
249180210	"SZCZYRK"	19520928	3.8
249180210	"SZCZYRK"	19520929	2.1
249180210	"SZCZYRK"	19521001	1.2
249180210	"SZCZYRK"	19521002	2.1
249180210	"SZCZYRK"	19521006	2.4
249180210	"SZCZYRK"	19521007	3.2
249180210	"SZCZYRK"	19521012	1.9
249180210	"SZCZYRK"	19521013	2.4
249180210	"SZCZYRK"	19521015	2.1
249180210	"SZCZYRK"	19521018	2.8
249180210	"SZCZYRK"	19521020	1.2
249180210	"SZCZYRK"	19521021	2.1
249180210	"SZCZYRK"	19521022	7.5
249180210	"SZCZYRK"	19521023	5.3
249180210	"SZCZYRK"	19521024	1.4
249180210	"SZCZYRK"	19521025	0
249180210	"SZCZYRK"	19521026	6.3
249180210	"SZCZYRK"	19521027	2.4
