"V1"	"V2"	"V3"	"V4"
249189995	"WAPIENICA"	19510103	2.2
249189995	"WAPIENICA"	19510104	1.5
249189995	"WAPIENICA"	19510105	1.8
249189995	"WAPIENICA"	19510106	0.4
249189995	"WAPIENICA"	19510108	0.8
249189995	"WAPIENICA"	19510113	8
249189995	"WAPIENICA"	19510115	6
249189995	"WAPIENICA"	19510116	1.9
249189995	"WAPIENICA"	19510118	6.3
249189995	"WAPIENICA"	19510119	16.4
249189995	"WAPIENICA"	19510120	23.8
249189995	"WAPIENICA"	19510121	11
249189995	"WAPIENICA"	19510122	1.7
249189995	"WAPIENICA"	19510123	0.5
249189995	"WAPIENICA"	19510125	0.7
249189995	"WAPIENICA"	19510214	5.3
249189995	"WAPIENICA"	19510217	0.2
249189995	"WAPIENICA"	19510218	1.2
249189995	"WAPIENICA"	19510219	0.8
249189995	"WAPIENICA"	19510221	3
249189995	"WAPIENICA"	19510222	0.5
249189995	"WAPIENICA"	19510223	0.4
249189995	"WAPIENICA"	19510225	4.3
249189995	"WAPIENICA"	19510226	30.2
249189995	"WAPIENICA"	19510227	3.7
249189995	"WAPIENICA"	19510228	4.2
249189995	"WAPIENICA"	19510301	0
249189995	"WAPIENICA"	19510303	4.9
249189995	"WAPIENICA"	19510304	0.4
249189995	"WAPIENICA"	19510305	3.2
249189995	"WAPIENICA"	19510306	4.2
249189995	"WAPIENICA"	19510307	0.5
249189995	"WAPIENICA"	19510308	0.9
249189995	"WAPIENICA"	19510309	4.9
249189995	"WAPIENICA"	19510310	0.4
249189995	"WAPIENICA"	19510314	1.9
249189995	"WAPIENICA"	19510315	0.1
249189995	"WAPIENICA"	19510317	4.2
249189995	"WAPIENICA"	19510318	9.1
249189995	"WAPIENICA"	19510319	5.4
249189995	"WAPIENICA"	19510320	0.8
249189995	"WAPIENICA"	19510321	0.8
249189995	"WAPIENICA"	19510323	0.5
249189995	"WAPIENICA"	19510324	6.6
249189995	"WAPIENICA"	19510325	15.1
249189995	"WAPIENICA"	19510326	0.8
249189995	"WAPIENICA"	19510327	1.7
249189995	"WAPIENICA"	19510328	2.6
249189995	"WAPIENICA"	19510329	1.5
249189995	"WAPIENICA"	19510331	9
249189995	"WAPIENICA"	19510401	43.7
249189995	"WAPIENICA"	19510405	0.4
249189995	"WAPIENICA"	19510408	7.8
249189995	"WAPIENICA"	19510409	6.2
