"V1"	"V2"	"V3"	"V4"
249180020	"WARSZOWICE"	19510503	4.9
249180020	"WARSZOWICE"	19510504	9.2
249180020	"WARSZOWICE"	19510505	11.7
249180020	"WARSZOWICE"	19510506	5.3
249180020	"WARSZOWICE"	19510508	0.2
249180020	"WARSZOWICE"	19510509	1.8
249180020	"WARSZOWICE"	19510510	25.8
249180020	"WARSZOWICE"	19510511	8.4
249180020	"WARSZOWICE"	19510514	7.5
249180020	"WARSZOWICE"	19510515	7.5
249180020	"WARSZOWICE"	19510516	9.7
249180020	"WARSZOWICE"	19510518	7.6
249180020	"WARSZOWICE"	19510520	8
249180020	"WARSZOWICE"	19510521	2.7
249180020	"WARSZOWICE"	19510522	5.2
249180020	"WARSZOWICE"	19510523	1.4
249180020	"WARSZOWICE"	19510527	0.7
249180020	"WARSZOWICE"	19510528	1.6
249180020	"WARSZOWICE"	19510603	0
249180020	"WARSZOWICE"	19510604	1
249180020	"WARSZOWICE"	19510605	7.1
249180020	"WARSZOWICE"	19510609	9.7
249180020	"WARSZOWICE"	19510610	2.7
249180020	"WARSZOWICE"	19510618	4.2
249180020	"WARSZOWICE"	19510620	2.4
249180020	"WARSZOWICE"	19510624	21.3
249180020	"WARSZOWICE"	19510625	2.2
249180020	"WARSZOWICE"	19510628	4.4
249180020	"WARSZOWICE"	19510703	1.3
249180020	"WARSZOWICE"	19510704	2.2
249180020	"WARSZOWICE"	19510705	2.9
249180020	"WARSZOWICE"	19510712	23.1
249180020	"WARSZOWICE"	19510713	9.9
249180020	"WARSZOWICE"	19510715	0.8
249180020	"WARSZOWICE"	19510720	4.7
249180020	"WARSZOWICE"	19510723	3.5
249180020	"WARSZOWICE"	19510724	1.6
249180020	"WARSZOWICE"	19510725	3.3
249180020	"WARSZOWICE"	19510726	2
249180020	"WARSZOWICE"	19510730	1.6
249180020	"WARSZOWICE"	19510804	0
249180020	"WARSZOWICE"	19510809	11.1
249180020	"WARSZOWICE"	19510811	3.2
249180020	"WARSZOWICE"	19510814	1.2
249180020	"WARSZOWICE"	19510817	2
249180020	"WARSZOWICE"	19510822	4.1
249180020	"WARSZOWICE"	19510823	4.9
249180020	"WARSZOWICE"	19510909	0.4
249180020	"WARSZOWICE"	19510913	6.5
249180020	"WARSZOWICE"	19510917	2.5
249180020	"WARSZOWICE"	19510921	6.5
249180020	"WARSZOWICE"	19510926	0
249180020	"WARSZOWICE"	19510928	0.08
249180020	"WARSZOWICE"	19510929	11.1
249180020	"WARSZOWICE"	19510930	1
249180020	"WARSZOWICE"	19511001	0.3
249180020	"WARSZOWICE"	19511102	0.08
249180020	"WARSZOWICE"	19511103	10
249180020	"WARSZOWICE"	19511104	3
249180020	"WARSZOWICE"	19511105	0.7
249180020	"WARSZOWICE"	19511108	0
249180020	"WARSZOWICE"	19511114	0
249180020	"WARSZOWICE"	19511115	0
249180020	"WARSZOWICE"	19511121	0.7
249180020	"WARSZOWICE"	19511122	10.3
249180020	"WARSZOWICE"	19511123	4.7
249180020	"WARSZOWICE"	19511125	6.7
249180020	"WARSZOWICE"	19511126	1.7
249180020	"WARSZOWICE"	19511127	1.3
249180020	"WARSZOWICE"	19511129	1.2
249180020	"WARSZOWICE"	19511130	11.5
249180020	"WARSZOWICE"	19511204	16.2
249180020	"WARSZOWICE"	19511205	0
249180020	"WARSZOWICE"	19511209	3
249180020	"WARSZOWICE"	19511210	1.8
249180020	"WARSZOWICE"	19511211	0.9
249180020	"WARSZOWICE"	19511213	10.9
249180020	"WARSZOWICE"	19511214	0.6
249180020	"WARSZOWICE"	19511215	0.7
249180020	"WARSZOWICE"	19511228	0.2
249180020	"WARSZOWICE"	19511229	2.8
249180020	"WARSZOWICE"	19511230	5.7
249180020	"WARSZOWICE"	19511231	1.2
249180020	"WARSZOWICE"	19520104	1.8
249180020	"WARSZOWICE"	19520106	1.3
249180020	"WARSZOWICE"	19520108	3.1
249180020	"WARSZOWICE"	19520110	0.9
249180020	"WARSZOWICE"	19520111	8.7
249180020	"WARSZOWICE"	19520112	1
249180020	"WARSZOWICE"	19520114	0.2
249180020	"WARSZOWICE"	19520117	0
249180020	"WARSZOWICE"	19520118	9
249180020	"WARSZOWICE"	19520119	0.8
249180020	"WARSZOWICE"	19520120	10
249180020	"WARSZOWICE"	19520121	2.5
249180020	"WARSZOWICE"	19520126	4.2
249180020	"WARSZOWICE"	19520127	11.1
249180020	"WARSZOWICE"	19520201	3.3
249180020	"WARSZOWICE"	19520203	1.3
249180020	"WARSZOWICE"	19520204	2.2
249180020	"WARSZOWICE"	19520205	0.8
249180020	"WARSZOWICE"	19520208	1.6
249180020	"WARSZOWICE"	19520210	0.8
249180020	"WARSZOWICE"	19520211	2.2
249180020	"WARSZOWICE"	19520214	13.1
249180020	"WARSZOWICE"	19520215	12.9
249180020	"WARSZOWICE"	19520216	3.8
249180020	"WARSZOWICE"	19520217	8.8
249180020	"WARSZOWICE"	19520218	2
249180020	"WARSZOWICE"	19520219	1.6
249180020	"WARSZOWICE"	19520220	0.7
249180020	"WARSZOWICE"	19520221	11
249180020	"WARSZOWICE"	19520222	5.6
249180020	"WARSZOWICE"	19520223	2.4
249180020	"WARSZOWICE"	19520224	0.6
249180020	"WARSZOWICE"	19520225	0
249180020	"WARSZOWICE"	19520226	7.3
249180020	"WARSZOWICE"	19520227	0.2
249180020	"WARSZOWICE"	19520228	3.2
249180020	"WARSZOWICE"	19520229	1.2
249180020	"WARSZOWICE"	19520302	2.3
249180020	"WARSZOWICE"	19520305	1.8
249180020	"WARSZOWICE"	19520306	0.5
249180020	"WARSZOWICE"	19520307	0.1
249180020	"WARSZOWICE"	19520313	3
249180020	"WARSZOWICE"	19520314	0.7
249180020	"WARSZOWICE"	19520322	0.1
249180020	"WARSZOWICE"	19520323	1
249180020	"WARSZOWICE"	19520325	2.8
249180020	"WARSZOWICE"	19520326	10
249180020	"WARSZOWICE"	19520327	9.7
249180020	"WARSZOWICE"	19520329	4.5
249180020	"WARSZOWICE"	19520401	14.8
249180020	"WARSZOWICE"	19520416	5.2
249180020	"WARSZOWICE"	19520424	1.5
249180020	"WARSZOWICE"	19520429	5.5
249180020	"WARSZOWICE"	19520501	3.9
249180020	"WARSZOWICE"	19520507	6.5
249180020	"WARSZOWICE"	19520508	1.2
249180020	"WARSZOWICE"	19520512	1.2
249180020	"WARSZOWICE"	19520515	2.8
249180020	"WARSZOWICE"	19520516	4
249180020	"WARSZOWICE"	19520520	5.5
249180020	"WARSZOWICE"	19520521	0.1
249180020	"WARSZOWICE"	19520522	1.6
249180020	"WARSZOWICE"	19520523	0.3
249180020	"WARSZOWICE"	19520525	1.2
249180020	"WARSZOWICE"	19520526	7
249180020	"WARSZOWICE"	19520527	2.2
249180020	"WARSZOWICE"	19520601	4.1
249180020	"WARSZOWICE"	19520602	17
249180020	"WARSZOWICE"	19520608	6.9
249180020	"WARSZOWICE"	19520610	2.5
249180020	"WARSZOWICE"	19520611	8.5
249180020	"WARSZOWICE"	19520614	15.4
249180020	"WARSZOWICE"	19520615	2.1
249180020	"WARSZOWICE"	19520616	19.2
249180020	"WARSZOWICE"	19520618	14.2
249180020	"WARSZOWICE"	19520619	4
249180020	"WARSZOWICE"	19520620	13.1
249180020	"WARSZOWICE"	19520623	5.5
249180020	"WARSZOWICE"	19520624	1.1
249180020	"WARSZOWICE"	19520625	10.4
249180020	"WARSZOWICE"	19520626	8.6
249180020	"WARSZOWICE"	19520627	1.9
249180020	"WARSZOWICE"	19520714	3.1
