"V1"	"V2"	"V3"	"V4"
249180230	"WISŁA-CENTRUM"	19501101	0.9
249180230	"WISŁA-CENTRUM"	19501102	0.5
249180230	"WISŁA-CENTRUM"	19501104	0.7
249180230	"WISŁA-CENTRUM"	19501105	0.9
249180230	"WISŁA-CENTRUM"	19501107	2.3
249180230	"WISŁA-CENTRUM"	19501108	1.2
249180230	"WISŁA-CENTRUM"	19501111	0.6
249180230	"WISŁA-CENTRUM"	19501114	12.7
249180230	"WISŁA-CENTRUM"	19501115	21.9
249180230	"WISŁA-CENTRUM"	19501116	0.2
249180230	"WISŁA-CENTRUM"	19501117	9.7
249180230	"WISŁA-CENTRUM"	19501123	1.2
249180230	"WISŁA-CENTRUM"	19501125	2.4
249180230	"WISŁA-CENTRUM"	19501126	7.4
249180230	"WISŁA-CENTRUM"	19501127	9.5
249180230	"WISŁA-CENTRUM"	19501129	9.4
249180230	"WISŁA-CENTRUM"	19501201	0.1
249180230	"WISŁA-CENTRUM"	19501204	6.6
249180230	"WISŁA-CENTRUM"	19501205	0.2
249180230	"WISŁA-CENTRUM"	19501206	2.2
249180230	"WISŁA-CENTRUM"	19501210	11.1
249180230	"WISŁA-CENTRUM"	19501211	0
249180230	"WISŁA-CENTRUM"	19501212	3.4
249180230	"WISŁA-CENTRUM"	19501217	11.6
249180230	"WISŁA-CENTRUM"	19501219	8.7
249180230	"WISŁA-CENTRUM"	19501225	11.1
249180230	"WISŁA-CENTRUM"	19501226	0.9
249180230	"WISŁA-CENTRUM"	19501227	0.3
249180230	"WISŁA-CENTRUM"	19501231	4.8
249180230	"WISŁA-CENTRUM"	19510102	0
249180230	"WISŁA-CENTRUM"	19510103	0
249180230	"WISŁA-CENTRUM"	19510104	4.8
249180230	"WISŁA-CENTRUM"	19510105	6.2
249180230	"WISŁA-CENTRUM"	19510106	8.2
249180230	"WISŁA-CENTRUM"	19510107	0
249180230	"WISŁA-CENTRUM"	19510113	0.6
249180230	"WISŁA-CENTRUM"	19510114	2.4
249180230	"WISŁA-CENTRUM"	19510116	1.4
249180230	"WISŁA-CENTRUM"	19510117	2.3
249180230	"WISŁA-CENTRUM"	19510118	2.5
249180230	"WISŁA-CENTRUM"	19510119	17.2
249180230	"WISŁA-CENTRUM"	19510120	58.3
249180230	"WISŁA-CENTRUM"	19510121	62.3
249180230	"WISŁA-CENTRUM"	19510123	1.6
249180230	"WISŁA-CENTRUM"	19510125	0
249180230	"WISŁA-CENTRUM"	19510126	0
249180230	"WISŁA-CENTRUM"	19510214	0.6
249180230	"WISŁA-CENTRUM"	19510215	0.4
249180230	"WISŁA-CENTRUM"	19510218	0.7
249180230	"WISŁA-CENTRUM"	19510222	0.5
249180230	"WISŁA-CENTRUM"	19510223	0.2
249180230	"WISŁA-CENTRUM"	19510224	0.8
249180230	"WISŁA-CENTRUM"	19510225	4.3
249180230	"WISŁA-CENTRUM"	19510226	9.7
249180230	"WISŁA-CENTRUM"	19510227	0.7
249180230	"WISŁA-CENTRUM"	19510228	1.4
249180230	"WISŁA-CENTRUM"	19510301	1.8
249180230	"WISŁA-CENTRUM"	19510303	3.2
249180230	"WISŁA-CENTRUM"	19510304	0.7
249180230	"WISŁA-CENTRUM"	19510305	2.1
249180230	"WISŁA-CENTRUM"	19510307	4.9
249180230	"WISŁA-CENTRUM"	19510308	5.8
249180230	"WISŁA-CENTRUM"	19510309	9.4
249180230	"WISŁA-CENTRUM"	19510310	8.9
249180230	"WISŁA-CENTRUM"	19510317	3.8
249180230	"WISŁA-CENTRUM"	19510318	9.9
249180230	"WISŁA-CENTRUM"	19510320	2.2
249180230	"WISŁA-CENTRUM"	19510321	0.9
249180230	"WISŁA-CENTRUM"	19510323	2.4
249180230	"WISŁA-CENTRUM"	19510324	6.4
249180230	"WISŁA-CENTRUM"	19510325	4.1
249180230	"WISŁA-CENTRUM"	19510326	2.6
249180230	"WISŁA-CENTRUM"	19510327	0.9
249180230	"WISŁA-CENTRUM"	19510328	1.3
249180230	"WISŁA-CENTRUM"	19510329	1.7
249180230	"WISŁA-CENTRUM"	19510330	0.6
249180230	"WISŁA-CENTRUM"	19510331	0.6
249180230	"WISŁA-CENTRUM"	19510401	34.3
249180230	"WISŁA-CENTRUM"	19510408	13.6
249180230	"WISŁA-CENTRUM"	19510409	7.3
249180230	"WISŁA-CENTRUM"	19510410	0
249180230	"WISŁA-CENTRUM"	19510414	0.4
249180230	"WISŁA-CENTRUM"	19510415	6.2
249180230	"WISŁA-CENTRUM"	19510420	0.5
249180230	"WISŁA-CENTRUM"	19510421	0
249180230	"WISŁA-CENTRUM"	19510422	7.9
249180230	"WISŁA-CENTRUM"	19510429	0
249180230	"WISŁA-CENTRUM"	19510430	91.2
249180230	"WISŁA-CENTRUM"	19510502	16.6
249180230	"WISŁA-CENTRUM"	19510503	13.8
249180230	"WISŁA-CENTRUM"	19510504	1.1
249180230	"WISŁA-CENTRUM"	19510505	8.2
249180230	"WISŁA-CENTRUM"	19510506	20.2
249180230	"WISŁA-CENTRUM"	19510509	4.4
249180230	"WISŁA-CENTRUM"	19510510	33.2
249180230	"WISŁA-CENTRUM"	19510511	38.4
249180230	"WISŁA-CENTRUM"	19510515	7.6
249180230	"WISŁA-CENTRUM"	19510516	3.4
249180230	"WISŁA-CENTRUM"	19510518	8.8
249180230	"WISŁA-CENTRUM"	19510521	0
249180230	"WISŁA-CENTRUM"	19510522	3.4
249180230	"WISŁA-CENTRUM"	19510523	9.6
249180230	"WISŁA-CENTRUM"	19510528	3.4
249180230	"WISŁA-CENTRUM"	19510603	4.1
249180230	"WISŁA-CENTRUM"	19510604	3
249180230	"WISŁA-CENTRUM"	19510605	41.2
249180230	"WISŁA-CENTRUM"	19510606	5.6
249180230	"WISŁA-CENTRUM"	19510607	8.4
249180230	"WISŁA-CENTRUM"	19510608	1.6
249180230	"WISŁA-CENTRUM"	19510609	0.3
249180230	"WISŁA-CENTRUM"	19510610	4.7
249180230	"WISŁA-CENTRUM"	19510613	4.8
249180230	"WISŁA-CENTRUM"	19510617	4.4
249180230	"WISŁA-CENTRUM"	19510618	9.4
249180230	"WISŁA-CENTRUM"	19510624	22.5
249180230	"WISŁA-CENTRUM"	19510625	20.6
249180230	"WISŁA-CENTRUM"	19510629	4.2
249180230	"WISŁA-CENTRUM"	19510704	3.6
249180230	"WISŁA-CENTRUM"	19510709	23.7
249180230	"WISŁA-CENTRUM"	19510712	0.8
249180230	"WISŁA-CENTRUM"	19510713	12.8
249180230	"WISŁA-CENTRUM"	19510715	11.5
249180230	"WISŁA-CENTRUM"	19510716	3.8
249180230	"WISŁA-CENTRUM"	19510717	0.7
249180230	"WISŁA-CENTRUM"	19510718	0.4
249180230	"WISŁA-CENTRUM"	19510723	0.3
249180230	"WISŁA-CENTRUM"	19510724	7.6
249180230	"WISŁA-CENTRUM"	19510725	19.8
249180230	"WISŁA-CENTRUM"	19510726	14.6
249180230	"WISŁA-CENTRUM"	19510727	0.9
249180230	"WISŁA-CENTRUM"	19510805	8.7
249180230	"WISŁA-CENTRUM"	19510809	4.8
249180230	"WISŁA-CENTRUM"	19510811	3.3
249180230	"WISŁA-CENTRUM"	19510814	25.3
249180230	"WISŁA-CENTRUM"	19510816	3.8
249180230	"WISŁA-CENTRUM"	19510817	4.6
249180230	"WISŁA-CENTRUM"	19510822	8.8
249180230	"WISŁA-CENTRUM"	19510823	7.4
249180230	"WISŁA-CENTRUM"	19510824	3.8
249180230	"WISŁA-CENTRUM"	19510826	15.4
249180230	"WISŁA-CENTRUM"	19510827	10.2
249180230	"WISŁA-CENTRUM"	19510918	0
249180230	"WISŁA-CENTRUM"	19510919	0
249180230	"WISŁA-CENTRUM"	19510920	7.3
249180230	"WISŁA-CENTRUM"	19510921	10.4
249180230	"WISŁA-CENTRUM"	19510926	0
249180230	"WISŁA-CENTRUM"	19510927	7.7
249180230	"WISŁA-CENTRUM"	19510928	0.4
249180230	"WISŁA-CENTRUM"	19511023	0.1
249180230	"WISŁA-CENTRUM"	19511101	0
249180230	"WISŁA-CENTRUM"	19511102	10
249180230	"WISŁA-CENTRUM"	19511104	1
249180230	"WISŁA-CENTRUM"	19511114	1.4
249180230	"WISŁA-CENTRUM"	19511115	3.6
249180230	"WISŁA-CENTRUM"	19511121	5.4
249180230	"WISŁA-CENTRUM"	19511122	23.6
249180230	"WISŁA-CENTRUM"	19511123	9.5
249180230	"WISŁA-CENTRUM"	19511124	4.6
249180230	"WISŁA-CENTRUM"	19511125	6.1
249180230	"WISŁA-CENTRUM"	19511126	16.6
249180230	"WISŁA-CENTRUM"	19511128	5.8
249180230	"WISŁA-CENTRUM"	19511129	48.4
