"V1"	"V2"	"V3"	"V4"
249180040	"WISŁAWIELKA"	19560605	0.9
249180040	"WISŁAWIELKA"	19560609	33.1
249180040	"WISŁAWIELKA"	19560612	3.7
249180040	"WISŁAWIELKA"	19560614	0.3
249180040	"WISŁAWIELKA"	19560615	17.3
249180040	"WISŁAWIELKA"	19560620	9
249180040	"WISŁAWIELKA"	19560623	29.6
249180040	"WISŁAWIELKA"	19560624	31.3
249180040	"WISŁAWIELKA"	19560625	4.5
249180040	"WISŁAWIELKA"	19560629	1.4
249180040	"WISŁAWIELKA"	19560630	0.6
249180040	"WISŁAWIELKA"	19560703	7.6
249180040	"WISŁAWIELKA"	19560704	6.4
249180040	"WISŁAWIELKA"	19560706	1.5
249180040	"WISŁAWIELKA"	19560707	0.3
249180040	"WISŁAWIELKA"	19560715	8.7
249180040	"WISŁAWIELKA"	19560716	4.4
249180040	"WISŁAWIELKA"	19560719	0.4
249180040	"WISŁAWIELKA"	19560720	7
249180040	"WISŁAWIELKA"	19560721	11.8
249180040	"WISŁAWIELKA"	19560722	1.5
249180040	"WISŁAWIELKA"	19560723	4.4
249180040	"WISŁAWIELKA"	19560724	5.3
249180040	"WISŁAWIELKA"	19560730	17.2
249180040	"WISŁAWIELKA"	19560803	3
249180040	"WISŁAWIELKA"	19560804	1
249180040	"WISŁAWIELKA"	19560805	7.9
249180040	"WISŁAWIELKA"	19560806	0.7
249180040	"WISŁAWIELKA"	19560807	12.6
249180040	"WISŁAWIELKA"	19560811	25.2
249180040	"WISŁAWIELKA"	19560812	1.6
249180040	"WISŁAWIELKA"	19560815	9.6
249180040	"WISŁAWIELKA"	19560818	29.4
249180040	"WISŁAWIELKA"	19560820	3.5
249180040	"WISŁAWIELKA"	19560821	15.8
249180040	"WISŁAWIELKA"	19560823	3.8
249180040	"WISŁAWIELKA"	19560824	1.6
249180040	"WISŁAWIELKA"	19560825	0.7
249180040	"WISŁAWIELKA"	19560826	0.4
249180040	"WISŁAWIELKA"	19560829	21.5
249180040	"WISŁAWIELKA"	19560904	4.5
249180040	"WISŁAWIELKA"	19560910	3.5
249180040	"WISŁAWIELKA"	19560911	5.6
249180040	"WISŁAWIELKA"	19560912	3
249180040	"WISŁAWIELKA"	19560913	6.4
249180040	"WISŁAWIELKA"	19560917	8.9
249180040	"WISŁAWIELKA"	19560927	4.5
249180040	"WISŁAWIELKA"	19561003	6.8
249180040	"WISŁAWIELKA"	19561005	16
249180040	"WISŁAWIELKA"	19561006	27.5
249180040	"WISŁAWIELKA"	19561007	5.6
249180040	"WISŁAWIELKA"	19561008	1.7
249180040	"WISŁAWIELKA"	19561011	0.2
249180040	"WISŁAWIELKA"	19561017	4
249180040	"WISŁAWIELKA"	19561018	0.6
249180040	"WISŁAWIELKA"	19561019	2.2
249180040	"WISŁAWIELKA"	19561020	0.1
249180040	"WISŁAWIELKA"	19561026	0.6
249180040	"WISŁAWIELKA"	19561027	3
249180040	"WISŁAWIELKA"	19561028	7.5
249180040	"WISŁAWIELKA"	19561030	8.2
249180040	"WISŁAWIELKA"	19561031	0.2
249180040	"WISŁAWIELKA"	19561105	0.4
249180040	"WISŁAWIELKA"	19561106	7.2
249180040	"WISŁAWIELKA"	19561107	2.7
249180040	"WISŁAWIELKA"	19561112	6
249180040	"WISŁAWIELKA"	19561114	7
249180040	"WISŁAWIELKA"	19561115	2.4
249180040	"WISŁAWIELKA"	19561117	1.3
249180040	"WISŁAWIELKA"	19561118	0.3
249180040	"WISŁAWIELKA"	19561126	16
249180040	"WISŁAWIELKA"	19561127	6.3
249180040	"WISŁAWIELKA"	19561203	5.1
249180040	"WISŁAWIELKA"	19561204	10.6
249180040	"WISŁAWIELKA"	19561205	5
249180040	"WISŁAWIELKA"	19561206	1.5
249180040	"WISŁAWIELKA"	19561209	0.8
249180040	"WISŁAWIELKA"	19561210	0.1
249180040	"WISŁAWIELKA"	19561213	3.8
249180040	"WISŁAWIELKA"	19561221	0.3
249180040	"WISŁAWIELKA"	19561223	2.3
249180040	"WISŁAWIELKA"	19561224	4.8
249180040	"WISŁAWIELKA"	19561225	2.3
249180040	"WISŁAWIELKA"	19561231	0.4
249180040	"WISŁAWIELKA"	19570101	0
249180040	"WISŁAWIELKA"	19570105	4.5
249180040	"WISŁAWIELKA"	19570106	3.9
249180040	"WISŁAWIELKA"	19570107	0.3
249180040	"WISŁAWIELKA"	19570110	2.2
249180040	"WISŁAWIELKA"	19570111	0.5
249180040	"WISŁAWIELKA"	19570112	2.4
249180040	"WISŁAWIELKA"	19570113	2.5
249180040	"WISŁAWIELKA"	19570114	0
249180040	"WISŁAWIELKA"	19570127	0
249180040	"WISŁAWIELKA"	19570128	5.9
249180040	"WISŁAWIELKA"	19570129	3.8
249180040	"WISŁAWIELKA"	19570131	3.3
249180040	"WISŁAWIELKA"	19570206	1.5
249180040	"WISŁAWIELKA"	19570207	0.1
249180040	"WISŁAWIELKA"	19570208	0.08
249180040	"WISŁAWIELKA"	19570209	4.8
249180040	"WISŁAWIELKA"	19570211	2.5
249180040	"WISŁAWIELKA"	19570215	0.1
249180040	"WISŁAWIELKA"	19570218	9.2
249180040	"WISŁAWIELKA"	19570219	0.2
249180040	"WISŁAWIELKA"	19570221	9.9
249180040	"WISŁAWIELKA"	19570222	0.2
249180040	"WISŁAWIELKA"	19570223	1.1
249180040	"WISŁAWIELKA"	19570224	2.7
249180040	"WISŁAWIELKA"	19570225	16
249180040	"WISŁAWIELKA"	19570228	1
249180040	"WISŁAWIELKA"	19570301	1.9
249180040	"WISŁAWIELKA"	19570302	0.1
249180040	"WISŁAWIELKA"	19570305	0.2
249180040	"WISŁAWIELKA"	19570314	0.2
249180040	"WISŁAWIELKA"	19570315	12
249180040	"WISŁAWIELKA"	19570316	1.3
249180040	"WISŁAWIELKA"	19570317	11.1
249180040	"WISŁAWIELKA"	19570318	4.5
249180040	"WISŁAWIELKA"	19570319	0.1
249180040	"WISŁAWIELKA"	19570324	4.7
249180040	"WISŁAWIELKA"	19570325	0.4
249180040	"WISŁAWIELKA"	19570328	2.9
249180040	"WISŁAWIELKA"	19570329	8.6
249180040	"WISŁAWIELKA"	19570330	1.7
249180040	"WISŁAWIELKA"	19570406	2.9
249180040	"WISŁAWIELKA"	19570407	15.2
249180040	"WISŁAWIELKA"	19570410	7
249180040	"WISŁAWIELKA"	19570413	6.7
249180040	"WISŁAWIELKA"	19570419	1
249180040	"WISŁAWIELKA"	19570421	12
249180040	"WISŁAWIELKA"	19570422	0.2
249180040	"WISŁAWIELKA"	19570423	7.5
249180040	"WISŁAWIELKA"	19570424	2.9
249180040	"WISŁAWIELKA"	19570425	0.5
249180040	"WISŁAWIELKA"	19570426	0.6
249180040	"WISŁAWIELKA"	19570429	0.6
249180040	"WISŁAWIELKA"	19570430	5.5
249180040	"WISŁAWIELKA"	19570505	1.1
249180040	"WISŁAWIELKA"	19570507	0.6
249180040	"WISŁAWIELKA"	19570508	6.2
249180040	"WISŁAWIELKA"	19570509	5.7
249180040	"WISŁAWIELKA"	19570510	10.4
249180040	"WISŁAWIELKA"	19570512	0.3
249180040	"WISŁAWIELKA"	19570514	15
249180040	"WISŁAWIELKA"	19570520	25.2
249180040	"WISŁAWIELKA"	19570521	0.2
249180040	"WISŁAWIELKA"	19570522	0.1
249180040	"WISŁAWIELKA"	19570524	0.2
249180040	"WISŁAWIELKA"	19570604	9.7
