"V1"	"V2"	"V3"	"V4"
249180030	"CHAŁUPKI"	19530101	0.4
249180030	"CHAŁUPKI"	19530102	16.2
249180030	"CHAŁUPKI"	19530103	2.7
249180030	"CHAŁUPKI"	19530106	0.6
249180030	"CHAŁUPKI"	19530107	7.7
249180030	"CHAŁUPKI"	19530108	7.5
249180030	"CHAŁUPKI"	19530109	0.6
249180030	"CHAŁUPKI"	19530110	1.9
249180030	"CHAŁUPKI"	19530111	1.1
249180030	"CHAŁUPKI"	19530112	0.8
249180030	"CHAŁUPKI"	19530118	3.8
249180030	"CHAŁUPKI"	19530119	1.2
249180030	"CHAŁUPKI"	19530121	1.4
249180030	"CHAŁUPKI"	19530122	4.5
249180030	"CHAŁUPKI"	19530123	0.2
249180030	"CHAŁUPKI"	19530128	12.9
249180030	"CHAŁUPKI"	19530130	0.4
249180030	"CHAŁUPKI"	19530131	0.8
249180030	"CHAŁUPKI"	19530202	5.1
249180030	"CHAŁUPKI"	19530203	0.8
249180030	"CHAŁUPKI"	19530206	0.8
249180030	"CHAŁUPKI"	19530207	1.8
249180030	"CHAŁUPKI"	19530208	0.4
249180030	"CHAŁUPKI"	19530211	2.1
249180030	"CHAŁUPKI"	19530213	0.1
249180030	"CHAŁUPKI"	19530216	1
249180030	"CHAŁUPKI"	19530217	1.8
249180030	"CHAŁUPKI"	19530219	0.8
249180030	"CHAŁUPKI"	19530222	0.8
249180030	"CHAŁUPKI"	19530223	0.4
249180030	"CHAŁUPKI"	19530228	1.9
249180030	"CHAŁUPKI"	19530304	10.5
249180030	"CHAŁUPKI"	19530307	4.1
249180030	"CHAŁUPKI"	19530308	0.1
249180030	"CHAŁUPKI"	19530309	0
249180030	"CHAŁUPKI"	19530310	1.2
249180030	"CHAŁUPKI"	19530311	4.9
249180030	"CHAŁUPKI"	19530312	4.6
249180030	"CHAŁUPKI"	19530313	2.2
249180030	"CHAŁUPKI"	19530327	1.4
249180030	"CHAŁUPKI"	19530329	0.1
249180030	"CHAŁUPKI"	19530405	3
249180030	"CHAŁUPKI"	19530406	2.3
249180030	"CHAŁUPKI"	19530407	0.5
249180030	"CHAŁUPKI"	19530416	0.1
249180030	"CHAŁUPKI"	19530417	4.7
249180030	"CHAŁUPKI"	19530428	8.4
249180030	"CHAŁUPKI"	19530429	15.2
249180030	"CHAŁUPKI"	19530430	13.2
249180030	"CHAŁUPKI"	19530503	0.1
249180030	"CHAŁUPKI"	19530504	0.9
249180030	"CHAŁUPKI"	19530505	8.2
249180030	"CHAŁUPKI"	19530506	4.5
249180030	"CHAŁUPKI"	19530507	6.9
249180030	"CHAŁUPKI"	19530509	4.6
249180030	"CHAŁUPKI"	19530510	23.7
249180030	"CHAŁUPKI"	19530511	6.7
249180030	"CHAŁUPKI"	19530512	1.7
249180030	"CHAŁUPKI"	19530513	0.4
249180030	"CHAŁUPKI"	19530520	1
249180030	"CHAŁUPKI"	19530522	23.8
249180030	"CHAŁUPKI"	19530527	9.6
249180030	"CHAŁUPKI"	19530531	4.5
249180030	"CHAŁUPKI"	19530603	5.3
249180030	"CHAŁUPKI"	19530608	0.6
249180030	"CHAŁUPKI"	19530609	0.6
249180030	"CHAŁUPKI"	19530612	35.1
249180030	"CHAŁUPKI"	19530616	3.4
249180030	"CHAŁUPKI"	19530617	2.6
249180030	"CHAŁUPKI"	19530619	7.3
249180030	"CHAŁUPKI"	19530624	16.5
249180030	"CHAŁUPKI"	19530625	7
249180030	"CHAŁUPKI"	19530626	22.7
249180030	"CHAŁUPKI"	19530627	0.6
249180030	"CHAŁUPKI"	19530702	3.9
249180030	"CHAŁUPKI"	19530703	3.1
249180030	"CHAŁUPKI"	19530710	5.1
249180030	"CHAŁUPKI"	19530711	2
249180030	"CHAŁUPKI"	19530713	9.8
249180030	"CHAŁUPKI"	19530719	23.1
249180030	"CHAŁUPKI"	19530724	1.4
249180030	"CHAŁUPKI"	19530727	6.2
249180030	"CHAŁUPKI"	19530728	3.2
249180030	"CHAŁUPKI"	19530730	21.2
