"V1"	"V2"	"V3"	"V4"
249180270	"ISTEBNA-MŁODAGÓRA"	19510102	0.3
249180270	"ISTEBNA-MŁODAGÓRA"	19510103	0.4
249180270	"ISTEBNA-MŁODAGÓRA"	19510104	1.4
249180270	"ISTEBNA-MŁODAGÓRA"	19510105	0.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510106	3
249180270	"ISTEBNA-MŁODAGÓRA"	19510108	1.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510113	9.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510114	7
249180270	"ISTEBNA-MŁODAGÓRA"	19510115	6.9
249180270	"ISTEBNA-MŁODAGÓRA"	19510116	4.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510117	3.6
249180270	"ISTEBNA-MŁODAGÓRA"	19510118	16
249180270	"ISTEBNA-MŁODAGÓRA"	19510119	25.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510120	29
249180270	"ISTEBNA-MŁODAGÓRA"	19510121	36
249180270	"ISTEBNA-MŁODAGÓRA"	19510122	44
249180270	"ISTEBNA-MŁODAGÓRA"	19510123	3.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510124	1.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510214	5
249180270	"ISTEBNA-MŁODAGÓRA"	19510218	2.1
249180270	"ISTEBNA-MŁODAGÓRA"	19510220	1.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510221	1.1
249180270	"ISTEBNA-MŁODAGÓRA"	19510222	1.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510223	4.7
249180270	"ISTEBNA-MŁODAGÓRA"	19510225	6.9
249180270	"ISTEBNA-MŁODAGÓRA"	19510226	13.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510227	4.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510228	5.9
249180270	"ISTEBNA-MŁODAGÓRA"	19510301	1.9
249180270	"ISTEBNA-MŁODAGÓRA"	19510304	2.1
249180270	"ISTEBNA-MŁODAGÓRA"	19510305	2.9
249180270	"ISTEBNA-MŁODAGÓRA"	19510306	4.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510307	1.1
249180270	"ISTEBNA-MŁODAGÓRA"	19510308	2.4
249180270	"ISTEBNA-MŁODAGÓRA"	19510309	10.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510310	0.9
249180270	"ISTEBNA-MŁODAGÓRA"	19510314	3.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510316	1.6
249180270	"ISTEBNA-MŁODAGÓRA"	19510317	2
249180270	"ISTEBNA-MŁODAGÓRA"	19510318	6.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510320	4.1
249180270	"ISTEBNA-MŁODAGÓRA"	19510321	5.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510323	3.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510324	6.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510325	7.1
249180270	"ISTEBNA-MŁODAGÓRA"	19510326	3.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510327	2
249180270	"ISTEBNA-MŁODAGÓRA"	19510328	1.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510329	2.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510331	7
249180270	"ISTEBNA-MŁODAGÓRA"	19510401	24.1
249180270	"ISTEBNA-MŁODAGÓRA"	19510408	12.1
249180270	"ISTEBNA-MŁODAGÓRA"	19510409	5.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510410	1.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510414	0.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510415	0.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510419	3.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510421	9.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510422	5.4
249180270	"ISTEBNA-MŁODAGÓRA"	19510428	1.4
249180270	"ISTEBNA-MŁODAGÓRA"	19510430	1.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510502	5.5
