"V1"	"V2"	"V3"	"V4"
249190010	"JAWISZOWICE"	19510101	0.4
249190010	"JAWISZOWICE"	19510104	1.6
249190010	"JAWISZOWICE"	19510105	1.5
249190010	"JAWISZOWICE"	19510114	8.2
249190010	"JAWISZOWICE"	19510116	4.1
249190010	"JAWISZOWICE"	19510119	2.6
249190010	"JAWISZOWICE"	19510120	4.8
249190010	"JAWISZOWICE"	19510121	5.9
249190010	"JAWISZOWICE"	19510122	1.7
249190010	"JAWISZOWICE"	19510215	5.4
249190010	"JAWISZOWICE"	19510218	1.1
249190010	"JAWISZOWICE"	19510220	0.2
249190010	"JAWISZOWICE"	19510222	1.8
249190010	"JAWISZOWICE"	19510223	2.4
249190010	"JAWISZOWICE"	19510225	6.9
249190010	"JAWISZOWICE"	19510227	14.4
249190010	"JAWISZOWICE"	19510302	2.3
249190010	"JAWISZOWICE"	19510304	3.6
249190010	"JAWISZOWICE"	19510305	1.4
249190010	"JAWISZOWICE"	19510306	4.6
249190010	"JAWISZOWICE"	19510307	2.3
249190010	"JAWISZOWICE"	19510308	0.4
249190010	"JAWISZOWICE"	19510309	2.9
249190010	"JAWISZOWICE"	19510310	3.7
249190010	"JAWISZOWICE"	19510313	0.5
249190010	"JAWISZOWICE"	19510315	1.1
249190010	"JAWISZOWICE"	19510319	14.3
249190010	"JAWISZOWICE"	19510320	2.2
249190010	"JAWISZOWICE"	19510325	7.6
249190010	"JAWISZOWICE"	19510326	4.2
249190010	"JAWISZOWICE"	19510328	0.2
249190010	"JAWISZOWICE"	19510330	0.6
249190010	"JAWISZOWICE"	19510401	9.6
249190010	"JAWISZOWICE"	19510402	24.7
249190010	"JAWISZOWICE"	19510409	6.8
249190010	"JAWISZOWICE"	19510415	4.7
249190010	"JAWISZOWICE"	19510420	2.6
249190010	"JAWISZOWICE"	19510422	7.6
249190010	"JAWISZOWICE"	19510429	5.8
249190010	"JAWISZOWICE"	19510501	1.6
249190010	"JAWISZOWICE"	19510505	2.4
249190010	"JAWISZOWICE"	19510506	14.7
249190010	"JAWISZOWICE"	19510507	17.8
249190010	"JAWISZOWICE"	19510509	3.3
249190010	"JAWISZOWICE"	19510510	0.4
249190010	"JAWISZOWICE"	19510511	31.4
