"rok"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"XI"	"XII"
1971	-2.96	0.37	-0.11	7.41	14.48	14.91	17.81	18.74	11.25	8.39	2.61	3.02
1972	-5.81	0.27	3.91	7.36	12.48	16.25	19.4	16.56	11.36	6.14	4.36	-0.01
1973	-1.67	1.27	3.69	6.13	12.35	15.77	17.58	17.12	13.14	6.62	1.85	-0.72
1974	0.06	2.29	4.37	6.89	10.75	14.04	15.62	17.7	13.4	6.29	3.86	2.73
1975	2.97	-0.56	3.87	6.58	13.35	15.4	18.55	18.27	15.79	7.98	1.75	0.88
1976	-1.97	-3.32	-0.85	6.72	11.95	15.09	18.06	15.31	12.58	7.59	4.71	-1.24
1977	-1.43	0.46	5.04	5.74	12.02	16.6	15.97	15.98	11.08	9.17	5.03	-0.38
1978	-0.95	-3.08	3.53	5.88	11.4	14.93	15.75	15.66	11.32	8.78	4.6	-3.03
1979	-5.46	-4.58	2.3	6.23	13.81	18.23	14.73	16.5	13.31	6.5	2.94	2.14
1980	-5.9	-1.14	-0.01	5.66	9.29	15.03	16.12	16.02	12.65	8.36	2.03	-0.12
1981	-2.98	-0.97	4.5	5.88	13.78	16.47	17.2	16.36	13.76	8.61	3.43	-3.2
1982	-4.12	-2.11	3.69	5.43	13.05	15.62	18.33	18.4	15.23	9.27	4.96	1.22
1983	3.15	-2.37	4.04	9.25	14.38	16.15	19	17.86	14.12	8.87	2.45	-0.64
1984	0.08	-1.52	1.02	7.75	12.84	14.03	15.52	17.47	12.8	10.46	2.83	-1.09
1985	-8.14	-7.56	2.05	7.41	14.07	13.96	17.04	17.26	12.36	8.39	0.57	2.16
1986	-1.33	-8.79	1.96	7.8	14.38	15.68	17.3	16.75	11.09	8.5	5.15	0.02
1987	-10.68	-1.46	-2.46	7.04	10.84	15.16	17.37	15.11	13.23	8.83	4.28	0.76
1988	1.39	1.09	1.09	7.02	14.14	15.8	18.52	17.06	13.5	8.23	0.34	1.1
1989	1.75	3.56	5.51	8.74	13.18	15.1	17.85	17.32	14.37	10.24	2.03	1.16
1990	1.8	4.92	6.5	7.92	13.29	16.13	16.62	17.48	11.3	9.21	4.6	-0.18
1991	0.18	-3.91	4.44	7.23	9.72	14.69	18.68	17.77	14.24	7.95	3.82	-0.93
1992	-0.54	1.5	3.56	7.41	13.1	17.78	19.34	20.59	12.94	6.01	3.86	-0.54
1993	0.35	-1.05	1.48	8.62	15.61	15.08	16.31	16.26	12.11	8.28	-1.27	1.97
1994	2.24	-2.41	4.11	8.58	12.05	16.08	20.96	18.18	14.43	6.8	4.21	1.38
1995	-1.2	3.33	2.78	7.62	12.09	16.04	19.78	18.04	12.98	10.45	0.63	-4.44
1996	-5.31	-5.08	-1.35	7.62	13.28	16.09	15.89	17.82	10.36	9.24	5.56	-4.88
1997	-4.34	2	3.13	4.98	12.83	16.41	17.45	18.91	13.29	6.74	3	0.41
1998	1.12	3.56	2.14	9.69	13.8	17.02	17.23	16.32	13.29	7.96	-0.78	-1.69
1999	0.47	-0.96	4.51	9.17	12.49	16.75	19.68	17.32	15.99	8.52	2.39	0.91
2000	-1.01	2.54	3.62	11.5	14.63	16.88	16.12	17.79	12.16	11.77	6.64	1.92
