data	yy	mm	dd	tmax	tmin	tavg	tdavg	rhavg	wd	ws	gust	slp	prec	totcl	lowcl	sun	vis	snow
2013-12-31	2013	12	31	5,4	-5,2	0,9	-0,6	91	SSW	7,1		1028,2	0	1,5	3,2	4,2	9,8	
2013-12-30	2013	12	30	7,2	0,9	4,4	2,6	88,4	WSW	15	54	1018,9	0,01	5,3	5,2		15,2	
2013-12-29	2013	12	29	9,2	3,4	6,3	3,6	83,3	S	10,2		1006,4	0	6,9	4,3	1,6	13,1	
2013-12-28	2013	12	28	7,9	3,7	5,5	3,9	89,2	S	12,3	36	1007,8	0,01	2,8	2,8	2,5	11,8	
2013-12-27	2013	12	27	9,1	2,6	6,2	4,5	88,4	SSE	11		999,5	0,01	6,8	3,7		10,4	
2013-12-26	2013	12	26	9,3	0,4	5,9	3,2	84,4	SE	8,7		997,2	0	6,2	3,1	0,9	13,2	
2013-12-25	2013	12	25	8,2	5,2	6,6	3	77,4	S	17,9	39,6	1003,7	0	6,2	1,7	4,1	14,2	
2013-12-24	2013	12	24	8	3,3	5,5	2,8	82,9	SW	14,7	46,8	1015,3	0,01	3,6	1,5	4	15,4	
2013-12-23	2013	12	23	8,6	3,5	6,5	3,9	82,9	SSW	14	39,6	1016,4	0,6	6,6	5,1	0,1	13,7	
2013-12-22	2013	12	22	4,5	0,8	3,1	-0,7	75,9	SSW	17,4	39,6	1025,3	0	6,2	2,7	2,7	13,9	
2013-12-21	2013	12	21	4,5	0,9	2,7	1,5	92,3	SW	11,6		1025,3	3,5	5,5	6,6		6,8	
2013-12-20	2013	12	20	2,1	-0,1	1	-1,8	81,7	S	9,5		1015,1	0	6,3	4,5	0,6	9,8	
2013-12-19	2013	12	19	2,3	-0,3	0,8	-1,5	84,5	SSE	7,7		1021,1	0	7	5,8	1,7	7	
2013-12-18	2013	12	18	8,1	-2,2	2,6	-1,5	76,7	SSW	5		1026	0	5	2,6	3,4	10,9	
2013-12-17	2013	12	17	8,2	2	4,8	0,2	72,6	SSW	11,4		1027,5	0	3,5	0,2	6,7	11,7	
2013-12-16	2013	12	16	5,5	3,3	4,5	3,4	92,2	SW	12,6		1028,8	0,01	7,5	6,4	0,1	8,7	
