"","Ozone","Solar.R","Wind","Temp","Month","Day","tc","indeks"
"40",71,291,13.8,90,6,9,32.2222222222222,FALSE
"42",NA,259,10.9,93,6,11,33.8888888888889,FALSE
"43",NA,250,NA,92,6,12,33.3333333333333,TRUE
"69",97,267,NA,92,7,8,33.3333333333333,TRUE
"70",97,272,NA,92,7,9,33.3333333333333,TRUE
"75",NA,291,14.9,91,7,14,32.7777777777778,FALSE
"100",89,229,10.3,90,8,8,32.2222222222222,FALSE
"101",110,207,NA,90,8,9,32.2222222222222,TRUE
"102",NA,222,NA,92,8,10,33.3333333333333,TRUE
"120",76,203,NA,97,8,28,36.1111111111111,TRUE
"121",118,225,NA,94,8,29,34.4444444444444,TRUE
"122",84,237,NA,96,8,30,35.5555555555556,TRUE
"123",85,188,NA,94,8,31,34.4444444444444,TRUE
"124",96,167,NA,91,9,1,32.7777777777778,TRUE
"125",78,197,NA,92,9,2,33.3333333333333,TRUE
"126",73,183,NA,93,9,3,33.8888888888889,TRUE
"127",91,189,NA,93,9,4,33.8888888888889,TRUE
